agency_id,agency_name,district_id,state_id,agency_type
AGENCY-0246,TEL-District-21 - Public Works Department (PWD),DIST-0456,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0247,JHA-District-02 - Municipal Corporation (MC),DIST-0484,ST-14,Rural Development Department (RDD)
AGENCY-0248,MAH-District-29 - Public Works Department (PWD),DIST-0104,ST-02,Public Works Department (PWD)
AGENCY-0249,ASS-District-05 - Municipal Corporation (MC),DIST-0511,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0250,GUJ-District-07 - Rural Development Department (RDD),DIST-0353,ST-09,Public Works Department (PWD)
AGENCY-0251,UTT-District-08 - Municipal Corporation (MC),DIST-0008,ST-01,Public Works Department (PWD)
AGENCY-0252,UTT-District-66 - Municipal Corporation (MC),DIST-0066,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0253,RAJ-District-39 - Rural Development Department (RDD),DIST-0304,ST-07,Public Works Department (PWD)
AGENCY-0254,RAJ-District-24 - Rural Development Department (RDD),DIST-0289,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0255,MAH-District-28 - Rural Development Department (RDD),DIST-0103,ST-02,Public Works Department (PWD)
AGENCY-0256,TAM-District-36 - Rural Development Department (RDD),DIST-0263,ST-06,Rural Development Department (RDD)
AGENCY-0257,KAR-District-26 - Panchayati Raj Institution (PRI),DIST-0341,ST-08,Rural Development Department (RDD)
AGENCY-0258,ODI-District-28 - Rural Development Department (RDD),DIST-0433,ST-11,Rural Development Department (RDD)
AGENCY-0259,RAJ-District-31 - Public Works Department (PWD),DIST-0296,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0260,GUJ-District-15 - Public Works Department (PWD),DIST-0361,ST-09,Panchayati Raj Institution (PRI)
AGENCY-0261,UTT-District-25 - Municipal Corporation (MC),DIST-0025,ST-01,Public Works Department (PWD)
AGENCY-0262,MAH-District-34 - Rural Development Department (RDD),DIST-0109,ST-02,Municipal Corporation (MC)
AGENCY-0263,TEL-District-10 - Panchayati Raj Institution (PRI),DIST-0445,ST-12,Public Works Department (PWD)
AGENCY-0264,TAM-District-13 - Municipal Corporation (MC),DIST-0240,ST-06,Public Works Department (PWD)
AGENCY-0265,TEL-District-09 - Rural Development Department (RDD),DIST-0444,ST-12,Public Works Department (PWD)
AGENCY-0266,ODI-District-25 - Public Works Department (PWD),DIST-0430,ST-11,Rural Development Department (RDD)
AGENCY-0267,BIH-District-10 - Panchayati Raj Institution (PRI),DIST-0121,ST-03,Public Works Department (PWD)
AGENCY-0268,UTT-District-57 - Panchayati Raj Institution (PRI),DIST-0057,ST-01,Water Supply & Sewerage Board
AGENCY-0269,UTT-District-25 - Panchayati Raj Institution (PRI),DIST-0025,ST-01,Water Supply & Sewerage Board
AGENCY-0270,MAD-District-08 - Panchayati Raj Institution (PRI),DIST-0180,ST-05,Water Supply & Sewerage Board
AGENCY-0271,TEL-District-16 - Rural Development Department (RDD),DIST-0451,ST-12,Municipal Corporation (MC)
AGENCY-0272,ODI-District-14 - Panchayati Raj Institution (PRI),DIST-0419,ST-11,Panchayati Raj Institution (PRI)
AGENCY-0273,CHH-District-09 - Water Supply & Sewerage Board,DIST-0573,ST-17,Water Supply & Sewerage Board
AGENCY-0274,ODI-District-14 - Rural Development Department (RDD),DIST-0419,ST-11,Public Works Department (PWD)
AGENCY-0275,MAH-District-03 - Water Supply & Sewerage Board,DIST-0078,ST-02,Rural Development Department (RDD)
AGENCY-0276,UTT-District-69 - Rural Development Department (RDD),DIST-0069,ST-01,Public Works Department (PWD)
AGENCY-0277,KAR-District-14 - Panchayati Raj Institution (PRI),DIST-0329,ST-08,Rural Development Department (RDD)
AGENCY-0278,TEL-District-26 - Panchayati Raj Institution (PRI),DIST-0461,ST-12,Water Supply & Sewerage Board
AGENCY-0279,KER-District-05 - Public Works Department (PWD),DIST-0473,ST-13,Rural Development Department (RDD)
AGENCY-0280,TEL-District-32 - Panchayati Raj Institution (PRI),DIST-0467,ST-12,Municipal Corporation (MC)
AGENCY-0281,MAD-District-36 - Public Works Department (PWD),DIST-0208,ST-05,Municipal Corporation (MC)
AGENCY-0282,JHA-District-04 - Municipal Corporation (MC),DIST-0486,ST-14,Panchayati Raj Institution (PRI)
AGENCY-0283,UTT-District-06 - Municipal Corporation (MC),DIST-0006,ST-01,Municipal Corporation (MC)
AGENCY-0284,ODI-District-09 - Public Works Department (PWD),DIST-0414,ST-11,Municipal Corporation (MC)
AGENCY-0285,TEL-District-14 - Water Supply & Sewerage Board,DIST-0449,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0286,TEL-District-18 - Panchayati Raj Institution (PRI),DIST-0453,ST-12,Municipal Corporation (MC)
AGENCY-0287,ODI-District-25 - Municipal Corporation (MC),DIST-0430,ST-11,Water Supply & Sewerage Board
AGENCY-0288,UTT-District-02 - Municipal Corporation (MC),DIST-0002,ST-01,Municipal Corporation (MC)
AGENCY-0289,KAR-District-23 - Panchayati Raj Institution (PRI),DIST-0338,ST-08,Municipal Corporation (MC)
AGENCY-0290,RAJ-District-17 - Panchayati Raj Institution (PRI),DIST-0282,ST-07,Water Supply & Sewerage Board
AGENCY-0291,JHA-District-07 - Rural Development Department (RDD),DIST-0489,ST-14,Water Supply & Sewerage Board
AGENCY-0292,MAD-District-31 - Public Works Department (PWD),DIST-0203,ST-05,Water Supply & Sewerage Board
AGENCY-0293,BIH-District-37 - Rural Development Department (RDD),DIST-0148,ST-03,Rural Development Department (RDD)
AGENCY-0294,RAJ-District-40 - Public Works Department (PWD),DIST-0305,ST-07,Public Works Department (PWD)
AGENCY-0295,TAM-District-16 - Rural Development Department (RDD),DIST-0243,ST-06,Public Works Department (PWD)
AGENCY-0296,CHH-District-01 - Panchayati Raj Institution (PRI),DIST-0565,ST-17,Public Works Department (PWD)
AGENCY-0297,UTT-District-63 - Water Supply & Sewerage Board,DIST-0063,ST-01,Rural Development Department (RDD)
AGENCY-0298,MAH-District-20 - Municipal Corporation (MC),DIST-0095,ST-02,Water Supply & Sewerage Board
AGENCY-0299,TAM-District-20 - Municipal Corporation (MC),DIST-0247,ST-06,Panchayati Raj Institution (PRI)
AGENCY-0300,UTT-District-68 - Municipal Corporation (MC),DIST-0068,ST-01,Water Supply & Sewerage Board
AGENCY-0301,HAR-District-13 - Public Works Department (PWD),DIST-0610,ST-18,Panchayati Raj Institution (PRI)
AGENCY-0302,AND-District-07 - Public Works Department (PWD),DIST-0386,ST-10,Water Supply & Sewerage Board
AGENCY-0303,UTT-District-64 - Rural Development Department (RDD),DIST-0064,ST-01,Water Supply & Sewerage Board
AGENCY-0304,KAR-District-30 - Municipal Corporation (MC),DIST-0345,ST-08,Panchayati Raj Institution (PRI)
AGENCY-0305,TEL-District-31 - Public Works Department (PWD),DIST-0466,ST-12,Municipal Corporation (MC)
AGENCY-0306,UTT-District-42 - Public Works Department (PWD),DIST-0042,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0307,RAJ-District-13 - Public Works Department (PWD),DIST-0278,ST-07,Municipal Corporation (MC)
AGENCY-0308,MAD-District-15 - Water Supply & Sewerage Board,DIST-0187,ST-05,Public Works Department (PWD)
AGENCY-0309,BIH-District-36 - Rural Development Department (RDD),DIST-0147,ST-03,Panchayati Raj Institution (PRI)
AGENCY-0310,TAM-District-22 - Public Works Department (PWD),DIST-0249,ST-06,Panchayati Raj Institution (PRI)
AGENCY-0311,CHH-District-30 - Public Works Department (PWD),DIST-0594,ST-17,Rural Development Department (RDD)
AGENCY-0312,RAJ-District-32 - Municipal Corporation (MC),DIST-0297,ST-07,Public Works Department (PWD)
AGENCY-0313,BIH-District-33 - Rural Development Department (RDD),DIST-0144,ST-03,Municipal Corporation (MC)
AGENCY-0314,UTT-District-52 - Municipal Corporation (MC),DIST-0052,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0315,MAD-District-32 - Water Supply & Sewerage Board,DIST-0204,ST-05,Water Supply & Sewerage Board
AGENCY-0316,JHA-District-16 - Water Supply & Sewerage Board,DIST-0498,ST-14,Rural Development Department (RDD)
AGENCY-0317,ASS-District-24 - Public Works Department (PWD),DIST-0530,ST-15,Rural Development Department (RDD)
AGENCY-0318,KAR-District-29 - Municipal Corporation (MC),DIST-0344,ST-08,Panchayati Raj Institution (PRI)
AGENCY-0319,GUJ-District-01 - Rural Development Department (RDD),DIST-0347,ST-09,Panchayati Raj Institution (PRI)
AGENCY-0320,RAJ-District-30 - Panchayati Raj Institution (PRI),DIST-0295,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0321,GUJ-District-26 - Rural Development Department (RDD),DIST-0372,ST-09,Public Works Department (PWD)
AGENCY-0322,MAD-District-14 - Panchayati Raj Institution (PRI),DIST-0186,ST-05,Public Works Department (PWD)
AGENCY-0323,MAH-District-35 - Water Supply & Sewerage Board,DIST-0110,ST-02,Rural Development Department (RDD)
AGENCY-0324,TEL-District-23 - Public Works Department (PWD),DIST-0458,ST-12,Water Supply & Sewerage Board
AGENCY-0325,BIH-District-21 - Rural Development Department (RDD),DIST-0132,ST-03,Municipal Corporation (MC)
AGENCY-0326,BIH-District-14 - Panchayati Raj Institution (PRI),DIST-0125,ST-03,Municipal Corporation (MC)
AGENCY-0327,UTT-District-15 - Public Works Department (PWD),DIST-0015,ST-01,Municipal Corporation (MC)
AGENCY-0328,WES-District-14 - Water Supply & Sewerage Board,DIST-0163,ST-04,Water Supply & Sewerage Board
AGENCY-0329,PUN-District-04 - Water Supply & Sewerage Board,DIST-0545,ST-16,Water Supply & Sewerage Board
AGENCY-0330,TAM-District-11 - Water Supply & Sewerage Board,DIST-0238,ST-06,Rural Development Department (RDD)
AGENCY-0331,GUJ-District-17 - Public Works Department (PWD),DIST-0363,ST-09,Water Supply & Sewerage Board
AGENCY-0332,GUJ-District-21 - Water Supply & Sewerage Board,DIST-0367,ST-09,Rural Development Department (RDD)
AGENCY-0333,MAD-District-22 - Panchayati Raj Institution (PRI),DIST-0194,ST-05,Water Supply & Sewerage Board
AGENCY-0334,KAR-District-25 - Municipal Corporation (MC),DIST-0340,ST-08,Rural Development Department (RDD)
AGENCY-0335,KER-District-13 - Municipal Corporation (MC),DIST-0481,ST-13,Water Supply & Sewerage Board
AGENCY-0336,UTT-District-36 - Rural Development Department (RDD),DIST-0036,ST-01,Public Works Department (PWD)
AGENCY-0337,TAM-District-21 - Municipal Corporation (MC),DIST-0248,ST-06,Municipal Corporation (MC)
AGENCY-0338,TEL-District-32 - Municipal Corporation (MC),DIST-0467,ST-12,Water Supply & Sewerage Board
AGENCY-0339,PUN-District-04 - Panchayati Raj Institution (PRI),DIST-0545,ST-16,Water Supply & Sewerage Board
AGENCY-0340,UTT-District-30 - Municipal Corporation (MC),DIST-0030,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0341,CHH-District-29 - Panchayati Raj Institution (PRI),DIST-0593,ST-17,Public Works Department (PWD)
AGENCY-0342,TEL-District-14 - Water Supply & Sewerage Board,DIST-0449,ST-12,Public Works Department (PWD)
AGENCY-0343,UTT-District-40 - Municipal Corporation (MC),DIST-0040,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0344,KAR-District-25 - Public Works Department (PWD),DIST-0340,ST-08,Panchayati Raj Institution (PRI)
AGENCY-0345,GUJ-District-06 - Water Supply & Sewerage Board,DIST-0352,ST-09,Rural Development Department (RDD)
AGENCY-0346,MAD-District-44 - Public Works Department (PWD),DIST-0216,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0347,AND-District-23 - Rural Development Department (RDD),DIST-0402,ST-10,Municipal Corporation (MC)
AGENCY-0348,CHH-District-17 - Public Works Department (PWD),DIST-0581,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0349,ODI-District-25 - Public Works Department (PWD),DIST-0430,ST-11,Public Works Department (PWD)
AGENCY-0350,TAM-District-18 - Public Works Department (PWD),DIST-0245,ST-06,Rural Development Department (RDD)
AGENCY-0351,MAH-District-17 - Water Supply & Sewerage Board,DIST-0092,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0352,MAD-District-32 - Municipal Corporation (MC),DIST-0204,ST-05,Public Works Department (PWD)
AGENCY-0353,GUJ-District-24 - Municipal Corporation (MC),DIST-0370,ST-09,Water Supply & Sewerage Board
AGENCY-0354,BIH-District-27 - Panchayati Raj Institution (PRI),DIST-0138,ST-03,Municipal Corporation (MC)
AGENCY-0355,JHA-District-12 - Public Works Department (PWD),DIST-0494,ST-14,Water Supply & Sewerage Board
AGENCY-0356,WES-District-21 - Rural Development Department (RDD),DIST-0170,ST-04,Public Works Department (PWD)
AGENCY-0357,MAH-District-18 - Rural Development Department (RDD),DIST-0093,ST-02,Public Works Department (PWD)
AGENCY-0358,TEL-District-19 - Panchayati Raj Institution (PRI),DIST-0454,ST-12,Rural Development Department (RDD)
AGENCY-0359,KAR-District-24 - Municipal Corporation (MC),DIST-0339,ST-08,Public Works Department (PWD)
AGENCY-0360,MAD-District-12 - Water Supply & Sewerage Board,DIST-0184,ST-05,Public Works Department (PWD)
AGENCY-0361,CHH-District-29 - Water Supply & Sewerage Board,DIST-0593,ST-17,Rural Development Department (RDD)
AGENCY-0362,MAD-District-27 - Rural Development Department (RDD),DIST-0199,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0363,BIH-District-22 - Municipal Corporation (MC),DIST-0133,ST-03,Rural Development Department (RDD)
AGENCY-0364,HAR-District-02 - Water Supply & Sewerage Board,DIST-0599,ST-18,Panchayati Raj Institution (PRI)
AGENCY-0365,GUJ-District-23 - Public Works Department (PWD),DIST-0369,ST-09,Public Works Department (PWD)
AGENCY-0366,RAJ-District-49 - Panchayati Raj Institution (PRI),DIST-0314,ST-07,Rural Development Department (RDD)
AGENCY-0367,UTT-District-56 - Water Supply & Sewerage Board,DIST-0056,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0368,RAJ-District-26 - Panchayati Raj Institution (PRI),DIST-0291,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0369,AND-District-23 - Municipal Corporation (MC),DIST-0402,ST-10,Panchayati Raj Institution (PRI)
AGENCY-0370,MAH-District-28 - Water Supply & Sewerage Board,DIST-0103,ST-02,Rural Development Department (RDD)
AGENCY-0371,UTT-District-11 - Public Works Department (PWD),DIST-0011,ST-01,Municipal Corporation (MC)
AGENCY-0372,TAM-District-13 - Public Works Department (PWD),DIST-0240,ST-06,Water Supply & Sewerage Board
AGENCY-0373,MAD-District-17 - Water Supply & Sewerage Board,DIST-0189,ST-05,Water Supply & Sewerage Board
AGENCY-0374,UTT-District-30 - Municipal Corporation (MC),DIST-0030,ST-01,Municipal Corporation (MC)
AGENCY-0375,MAH-District-32 - Rural Development Department (RDD),DIST-0107,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0376,MAH-District-16 - Municipal Corporation (MC),DIST-0091,ST-02,Rural Development Department (RDD)
AGENCY-0377,CHH-District-17 - Water Supply & Sewerage Board,DIST-0581,ST-17,Municipal Corporation (MC)
AGENCY-0378,UTT-District-75 - Public Works Department (PWD),DIST-0075,ST-01,Public Works Department (PWD)
AGENCY-0379,RAJ-District-45 - Municipal Corporation (MC),DIST-0310,ST-07,Public Works Department (PWD)
AGENCY-0380,TEL-District-03 - Public Works Department (PWD),DIST-0438,ST-12,Rural Development Department (RDD)
AGENCY-0381,GUJ-District-25 - Water Supply & Sewerage Board,DIST-0371,ST-09,Municipal Corporation (MC)
AGENCY-0382,KAR-District-15 - Public Works Department (PWD),DIST-0330,ST-08,Rural Development Department (RDD)
AGENCY-0383,JHA-District-04 - Public Works Department (PWD),DIST-0486,ST-14,Municipal Corporation (MC)
AGENCY-0384,TEL-District-01 - Municipal Corporation (MC),DIST-0436,ST-12,Rural Development Department (RDD)
AGENCY-0385,WES-District-03 - Public Works Department (PWD),DIST-0152,ST-04,Rural Development Department (RDD)
AGENCY-0386,KAR-District-10 - Public Works Department (PWD),DIST-0325,ST-08,Panchayati Raj Institution (PRI)
AGENCY-0387,BIH-District-37 - Panchayati Raj Institution (PRI),DIST-0148,ST-03,Rural Development Department (RDD)
AGENCY-0388,CHH-District-27 - Rural Development Department (RDD),DIST-0591,ST-17,Water Supply & Sewerage Board
AGENCY-0389,MAH-District-34 - Public Works Department (PWD),DIST-0109,ST-02,Public Works Department (PWD)
AGENCY-0390,TAM-District-33 - Water Supply & Sewerage Board,DIST-0260,ST-06,Public Works Department (PWD)
AGENCY-0391,JHA-District-04 - Municipal Corporation (MC),DIST-0486,ST-14,Rural Development Department (RDD)
AGENCY-0392,MAD-District-37 - Water Supply & Sewerage Board,DIST-0209,ST-05,Municipal Corporation (MC)
AGENCY-0393,BIH-District-37 - Water Supply & Sewerage Board,DIST-0148,ST-03,Panchayati Raj Institution (PRI)
AGENCY-0394,UTT-District-50 - Water Supply & Sewerage Board,DIST-0050,ST-01,Water Supply & Sewerage Board
AGENCY-0395,RAJ-District-10 - Municipal Corporation (MC),DIST-0275,ST-07,Rural Development Department (RDD)
AGENCY-0396,ASS-District-21 - Rural Development Department (RDD),DIST-0527,ST-15,Rural Development Department (RDD)
AGENCY-0397,RAJ-District-45 - Rural Development Department (RDD),DIST-0310,ST-07,Municipal Corporation (MC)
AGENCY-0398,TEL-District-28 - Panchayati Raj Institution (PRI),DIST-0463,ST-12,Municipal Corporation (MC)
AGENCY-0399,RAJ-District-02 - Water Supply & Sewerage Board,DIST-0267,ST-07,Rural Development Department (RDD)
AGENCY-0400,TEL-District-02 - Panchayati Raj Institution (PRI),DIST-0437,ST-12,Water Supply & Sewerage Board
AGENCY-0401,BIH-District-25 - Public Works Department (PWD),DIST-0136,ST-03,Water Supply & Sewerage Board
AGENCY-0402,PUN-District-17 - Municipal Corporation (MC),DIST-0558,ST-16,Panchayati Raj Institution (PRI)
AGENCY-0403,TAM-District-27 - Municipal Corporation (MC),DIST-0254,ST-06,Municipal Corporation (MC)
AGENCY-0404,WES-District-22 - Public Works Department (PWD),DIST-0171,ST-04,Public Works Department (PWD)
AGENCY-0405,MAD-District-42 - Municipal Corporation (MC),DIST-0214,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0406,AND-District-04 - Panchayati Raj Institution (PRI),DIST-0383,ST-10,Rural Development Department (RDD)
AGENCY-0407,TEL-District-29 - Municipal Corporation (MC),DIST-0464,ST-12,Water Supply & Sewerage Board
AGENCY-0408,ASS-District-06 - Rural Development Department (RDD),DIST-0512,ST-15,Municipal Corporation (MC)
AGENCY-0409,MAD-District-46 - Water Supply & Sewerage Board,DIST-0218,ST-05,Municipal Corporation (MC)
AGENCY-0410,ASS-District-11 - Rural Development Department (RDD),DIST-0517,ST-15,Public Works Department (PWD)
AGENCY-0411,MAH-District-13 - Panchayati Raj Institution (PRI),DIST-0088,ST-02,Water Supply & Sewerage Board
AGENCY-0412,AND-District-10 - Water Supply & Sewerage Board,DIST-0389,ST-10,Panchayati Raj Institution (PRI)
AGENCY-0413,CHH-District-30 - Water Supply & Sewerage Board,DIST-0594,ST-17,Rural Development Department (RDD)
AGENCY-0414,ASS-District-28 - Public Works Department (PWD),DIST-0534,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0415,RAJ-District-06 - Rural Development Department (RDD),DIST-0271,ST-07,Water Supply & Sewerage Board
AGENCY-0416,ODI-District-05 - Public Works Department (PWD),DIST-0410,ST-11,Public Works Department (PWD)
AGENCY-0417,UTT-District-73 - Rural Development Department (RDD),DIST-0073,ST-01,Public Works Department (PWD)
AGENCY-0418,WES-District-15 - Municipal Corporation (MC),DIST-0164,ST-04,Water Supply & Sewerage Board
AGENCY-0419,JHA-District-05 - Panchayati Raj Institution (PRI),DIST-0487,ST-14,Municipal Corporation (MC)
AGENCY-0420,CHH-District-21 - Public Works Department (PWD),DIST-0585,ST-17,Water Supply & Sewerage Board
AGENCY-0421,TEL-District-13 - Rural Development Department (RDD),DIST-0448,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0422,RAJ-District-07 - Public Works Department (PWD),DIST-0272,ST-07,Rural Development Department (RDD)
AGENCY-0423,MAD-District-11 - Public Works Department (PWD),DIST-0183,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0424,RAJ-District-30 - Rural Development Department (RDD),DIST-0295,ST-07,Public Works Department (PWD)
AGENCY-0425,HAR-District-04 - Municipal Corporation (MC),DIST-0601,ST-18,Panchayati Raj Institution (PRI)
AGENCY-0426,TEL-District-13 - Rural Development Department (RDD),DIST-0448,ST-12,Rural Development Department (RDD)
AGENCY-0427,ODI-District-12 - Municipal Corporation (MC),DIST-0417,ST-11,Municipal Corporation (MC)
AGENCY-0428,GUJ-District-05 - Public Works Department (PWD),DIST-0351,ST-09,Municipal Corporation (MC)
AGENCY-0429,AND-District-04 - Panchayati Raj Institution (PRI),DIST-0383,ST-10,Rural Development Department (RDD)
AGENCY-0430,HAR-District-10 - Rural Development Department (RDD),DIST-0607,ST-18,Rural Development Department (RDD)
AGENCY-0431,TEL-District-03 - Panchayati Raj Institution (PRI),DIST-0438,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0432,AND-District-23 - Rural Development Department (RDD),DIST-0402,ST-10,Public Works Department (PWD)
AGENCY-0433,MAH-District-29 - Water Supply & Sewerage Board,DIST-0104,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0434,TAM-District-32 - Rural Development Department (RDD),DIST-0259,ST-06,Municipal Corporation (MC)
AGENCY-0435,CHH-District-02 - Municipal Corporation (MC),DIST-0566,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0436,RAJ-District-30 - Water Supply & Sewerage Board,DIST-0295,ST-07,Water Supply & Sewerage Board
AGENCY-0437,TAM-District-15 - Water Supply & Sewerage Board,DIST-0242,ST-06,Water Supply & Sewerage Board
AGENCY-0438,ASS-District-18 - Public Works Department (PWD),DIST-0524,ST-15,Public Works Department (PWD)
AGENCY-0439,MAD-District-13 - Municipal Corporation (MC),DIST-0185,ST-05,Public Works Department (PWD)
AGENCY-0440,UTT-District-52 - Public Works Department (PWD),DIST-0052,ST-01,Public Works Department (PWD)
AGENCY-0441,CHH-District-05 - Municipal Corporation (MC),DIST-0569,ST-17,Municipal Corporation (MC)
AGENCY-0442,MAD-District-10 - Municipal Corporation (MC),DIST-0182,ST-05,Municipal Corporation (MC)
AGENCY-0443,KAR-District-15 - Water Supply & Sewerage Board,DIST-0330,ST-08,Panchayati Raj Institution (PRI)
AGENCY-0444,MAD-District-29 - Municipal Corporation (MC),DIST-0201,ST-05,Water Supply & Sewerage Board
AGENCY-0445,ASS-District-06 - Panchayati Raj Institution (PRI),DIST-0512,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0446,HAR-District-08 - Municipal Corporation (MC),DIST-0605,ST-18,Panchayati Raj Institution (PRI)
AGENCY-0447,MAD-District-02 - Water Supply & Sewerage Board,DIST-0174,ST-05,Water Supply & Sewerage Board
AGENCY-0448,UTT-District-44 - Public Works Department (PWD),DIST-0044,ST-01,Public Works Department (PWD)
AGENCY-0449,TAM-District-13 - Public Works Department (PWD),DIST-0240,ST-06,Water Supply & Sewerage Board
AGENCY-0450,CHH-District-02 - Public Works Department (PWD),DIST-0566,ST-17,Water Supply & Sewerage Board
AGENCY-0451,MAH-District-13 - Municipal Corporation (MC),DIST-0088,ST-02,Rural Development Department (RDD)
AGENCY-0452,UTT-District-25 - Panchayati Raj Institution (PRI),DIST-0025,ST-01,Water Supply & Sewerage Board
AGENCY-0453,CHH-District-14 - Public Works Department (PWD),DIST-0578,ST-17,Water Supply & Sewerage Board
AGENCY-0454,MAD-District-10 - Panchayati Raj Institution (PRI),DIST-0182,ST-05,Public Works Department (PWD)
AGENCY-0455,HAR-District-06 - Municipal Corporation (MC),DIST-0603,ST-18,Municipal Corporation (MC)
AGENCY-0456,TEL-District-16 - Water Supply & Sewerage Board,DIST-0451,ST-12,Public Works Department (PWD)
AGENCY-0457,WES-District-04 - Public Works Department (PWD),DIST-0153,ST-04,Panchayati Raj Institution (PRI)
AGENCY-0458,RAJ-District-41 - Public Works Department (PWD),DIST-0306,ST-07,Municipal Corporation (MC)
AGENCY-0459,UTT-District-06 - Municipal Corporation (MC),DIST-0006,ST-01,Municipal Corporation (MC)
AGENCY-0460,JHA-District-23 - Public Works Department (PWD),DIST-0505,ST-14,Water Supply & Sewerage Board
AGENCY-0461,KAR-District-25 - Water Supply & Sewerage Board,DIST-0340,ST-08,Municipal Corporation (MC)
AGENCY-0462,ODI-District-02 - Public Works Department (PWD),DIST-0407,ST-11,Municipal Corporation (MC)
AGENCY-0463,RAJ-District-13 - Water Supply & Sewerage Board,DIST-0278,ST-07,Municipal Corporation (MC)
AGENCY-0464,UTT-District-47 - Water Supply & Sewerage Board,DIST-0047,ST-01,Public Works Department (PWD)
AGENCY-0465,MAD-District-14 - Rural Development Department (RDD),DIST-0186,ST-05,Water Supply & Sewerage Board
AGENCY-0466,MAH-District-20 - Water Supply & Sewerage Board,DIST-0095,ST-02,Rural Development Department (RDD)
AGENCY-0467,AND-District-24 - Public Works Department (PWD),DIST-0403,ST-10,Rural Development Department (RDD)
AGENCY-0468,AND-District-07 - Municipal Corporation (MC),DIST-0386,ST-10,Water Supply & Sewerage Board
AGENCY-0469,JHA-District-24 - Panchayati Raj Institution (PRI),DIST-0506,ST-14,Rural Development Department (RDD)
AGENCY-0470,WES-District-13 - Water Supply & Sewerage Board,DIST-0162,ST-04,Municipal Corporation (MC)
AGENCY-0471,PUN-District-22 - Panchayati Raj Institution (PRI),DIST-0563,ST-16,Panchayati Raj Institution (PRI)
AGENCY-0472,ASS-District-06 - Municipal Corporation (MC),DIST-0512,ST-15,Rural Development Department (RDD)
AGENCY-0473,KAR-District-10 - Rural Development Department (RDD),DIST-0325,ST-08,Municipal Corporation (MC)
AGENCY-0474,UTT-District-19 - Water Supply & Sewerage Board,DIST-0019,ST-01,Water Supply & Sewerage Board
AGENCY-0475,UTT-District-15 - Municipal Corporation (MC),DIST-0015,ST-01,Public Works Department (PWD)
AGENCY-0476,MAD-District-51 - Rural Development Department (RDD),DIST-0223,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0477,CHH-District-05 - Panchayati Raj Institution (PRI),DIST-0569,ST-17,Rural Development Department (RDD)
AGENCY-0478,UTT-District-58 - Water Supply & Sewerage Board,DIST-0058,ST-01,Rural Development Department (RDD)
AGENCY-0479,RAJ-District-22 - Public Works Department (PWD),DIST-0287,ST-07,Rural Development Department (RDD)
AGENCY-0480,KAR-District-28 - Water Supply & Sewerage Board,DIST-0343,ST-08,Rural Development Department (RDD)
AGENCY-0481,GUJ-District-02 - Water Supply & Sewerage Board,DIST-0348,ST-09,Rural Development Department (RDD)
AGENCY-0482,MAD-District-11 - Public Works Department (PWD),DIST-0183,ST-05,Water Supply & Sewerage Board
AGENCY-0483,UTT-District-69 - Rural Development Department (RDD),DIST-0069,ST-01,Public Works Department (PWD)
AGENCY-0484,TEL-District-03 - Rural Development Department (RDD),DIST-0438,ST-12,Municipal Corporation (MC)
AGENCY-0485,GUJ-District-30 - Public Works Department (PWD),DIST-0376,ST-09,Rural Development Department (RDD)
AGENCY-0486,UTT-District-03 - Public Works Department (PWD),DIST-0003,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0487,WES-District-15 - Public Works Department (PWD),DIST-0164,ST-04,Panchayati Raj Institution (PRI)
AGENCY-0488,RAJ-District-15 - Water Supply & Sewerage Board,DIST-0280,ST-07,Municipal Corporation (MC)
AGENCY-0489,TAM-District-17 - Panchayati Raj Institution (PRI),DIST-0244,ST-06,Public Works Department (PWD)
AGENCY-0490,TAM-District-13 - Panchayati Raj Institution (PRI),DIST-0240,ST-06,Public Works Department (PWD)
AGENCY-0491,CHH-District-06 - Panchayati Raj Institution (PRI),DIST-0570,ST-17,Municipal Corporation (MC)
