contractor_id,contractor_name,home_district_id,home_state_id,registration_category,financial_capacity,base_quality_score,past_irregularity_rate
CONT-0240,Rai Enterprises,DIST-0104,ST-02,Class C,5000000.0,0.935,0.0536
CONT-0241,Gara Enterprises,DIST-0587,ST-17,Class A,20000000.0,0.966,0.1188
CONT-0242,Luthra LLC Infrastructure Pvt Ltd,DIST-0377,ST-09,Class B,5000000.0,0.718,0.0649
CONT-0243,Loyal Enterprises,DIST-0437,ST-12,Class B,5000000.0,0.76,0.0673
CONT-0244,Dhingra-Bhatnagar Infrastructure Pvt Ltd,DIST-0482,ST-13,Class C,20000000.0,0.962,0.082
CONT-0245,Saran LLC Infrastructure Pvt Ltd,DIST-0262,ST-06,Class B,100000000.0,0.749,0.0666
CONT-0246,Sama Enterprises,DIST-0347,ST-09,Class C,100000000.0,0.979,0.0203
CONT-0247,Sule-Bose Infrastructure Pvt Ltd,DIST-0597,ST-17,Class B,20000000.0,0.805,0.0418
CONT-0248,Patel Enterprises,DIST-0244,ST-06,Class B,5000000.0,0.932,0.1189
CONT-0249,Koshy-Tandon Infrastructure Pvt Ltd,DIST-0154,ST-04,Class B,20000000.0,0.843,0.163
CONT-0250,"Hayre, Shankar and Chhabra Infrastructure Pvt Ltd",DIST-0230,ST-06,Class B,5000000.0,0.777,0.061
CONT-0251,Modi Inc Infrastructure Pvt Ltd,DIST-0483,ST-14,Class A,100000000.0,0.716,0.0831
CONT-0252,Randhawa Enterprises,DIST-0572,ST-17,Class A,20000000.0,0.823,0.0113
CONT-0253,Rai-Narayan Infrastructure Pvt Ltd,DIST-0372,ST-09,Class B,5000000.0,0.823,0.059
CONT-0254,Natt-Sani Infrastructure Pvt Ltd,DIST-0432,ST-11,Class B,20000000.0,0.781,0.0371
CONT-0255,"Deshpande, Mital and Nagi Infrastructure Pvt Ltd",DIST-0361,ST-09,Class B,100000000.0,0.734,0.0837
CONT-0256,"Iyer, Srinivas and Murthy Infrastructure Pvt Ltd",DIST-0464,ST-12,Class B,20000000.0,0.701,0.1274
CONT-0257,Goel Enterprises,DIST-0158,ST-04,Class A,5000000.0,0.967,0.1391
CONT-0258,Rao Enterprises,DIST-0326,ST-08,Class C,5000000.0,0.841,0.0182
CONT-0259,Manne-Swaminathan Infrastructure Pvt Ltd,DIST-0438,ST-12,Class B,5000000.0,0.9,0.0523
CONT-0260,"Kibe, Nanda and Puri Infrastructure Pvt Ltd",DIST-0035,ST-01,Class C,5000000.0,0.776,0.1988
CONT-0261,Mand Enterprises,DIST-0151,ST-04,Class B,20000000.0,0.795,0.1136
CONT-0262,Patla-Comar Infrastructure Pvt Ltd,DIST-0375,ST-09,Class B,5000000.0,0.855,0.0733
CONT-0263,"Iyengar, Gole and Bala Infrastructure Pvt Ltd",DIST-0156,ST-04,Class B,5000000.0,0.977,0.0983
CONT-0264,Shenoy Enterprises,DIST-0099,ST-02,Class B,5000000.0,0.894,0.0022
CONT-0265,"Kadakia, Sarma and Manne Infrastructure Pvt Ltd",DIST-0599,ST-18,Class B,100000000.0,0.775,0.1294
CONT-0266,"Biswas, Rege and Tata Infrastructure Pvt Ltd",DIST-0570,ST-17,Class B,20000000.0,0.853,0.0198
CONT-0267,Mitter and Sons Infrastructure Pvt Ltd,DIST-0178,ST-05,Class A,5000000.0,0.936,0.1677
CONT-0268,Dube-Sampath Infrastructure Pvt Ltd,DIST-0057,ST-01,Class B,5000000.0,0.752,0.0454
CONT-0269,Purohit Enterprises,DIST-0462,ST-12,Class A,20000000.0,0.735,0.0718
CONT-0270,Borah Enterprises,DIST-0282,ST-07,Class B,20000000.0,0.717,0.0984
CONT-0271,Srinivas-Rattan Infrastructure Pvt Ltd,DIST-0019,ST-01,Class B,100000000.0,0.729,0.0516
CONT-0272,Warrior Enterprises,DIST-0475,ST-13,Class B,5000000.0,0.875,0.1958
CONT-0273,"Sahota, Bansal and Parsa Infrastructure Pvt Ltd",DIST-0594,ST-17,Class C,20000000.0,0.801,0.0122
CONT-0274,"Yadav, Chada and Chopra Infrastructure Pvt Ltd",DIST-0485,ST-14,Class C,5000000.0,0.96,0.0197
CONT-0275,Pant and Sons Infrastructure Pvt Ltd,DIST-0607,ST-18,Class C,5000000.0,0.752,0.0362
CONT-0276,"Basu, Ratta and Narula Infrastructure Pvt Ltd",DIST-0485,ST-14,Class A,20000000.0,0.786,0.1558
CONT-0277,Sani Enterprises,DIST-0044,ST-01,Class B,20000000.0,0.844,0.0032
CONT-0278,Cherian Enterprises,DIST-0278,ST-07,Class B,20000000.0,0.948,0.0203
CONT-0279,Anne Enterprises,DIST-0560,ST-16,Class A,100000000.0,0.74,0.0665
CONT-0280,Kuruvilla and Sons Infrastructure Pvt Ltd,DIST-0420,ST-11,Class C,5000000.0,0.712,0.0551
CONT-0281,"Venkataraman, Kant and Sehgal Infrastructure Pvt Ltd",DIST-0316,ST-08,Class C,100000000.0,0.968,0.0548
CONT-0282,Raman-Sheth Infrastructure Pvt Ltd,DIST-0248,ST-06,Class C,5000000.0,0.965,0.0203
CONT-0283,"Tella, Dora and Pai Infrastructure Pvt Ltd",DIST-0603,ST-18,Class A,5000000.0,0.738,0.0102
CONT-0284,Subramanian Inc Infrastructure Pvt Ltd,DIST-0589,ST-17,Class A,20000000.0,0.897,0.0256
CONT-0285,Sagar-Chada Infrastructure Pvt Ltd,DIST-0173,ST-05,Class C,20000000.0,0.801,0.0607
CONT-0286,Dhar LLC Infrastructure Pvt Ltd,DIST-0358,ST-09,Class A,5000000.0,0.965,0.0263
CONT-0287,Oza-Shah Infrastructure Pvt Ltd,DIST-0388,ST-10,Class C,20000000.0,0.866,0.1571
CONT-0288,Verma Group Infrastructure Pvt Ltd,DIST-0481,ST-13,Class B,5000000.0,0.934,0.1362
CONT-0289,Soni-Chatterjee Infrastructure Pvt Ltd,DIST-0266,ST-07,Class B,20000000.0,0.974,0.0414
CONT-0290,Sethi-Nagar Infrastructure Pvt Ltd,DIST-0466,ST-12,Class C,20000000.0,0.862,0.0448
CONT-0291,Bhavsar Enterprises,DIST-0436,ST-12,Class B,20000000.0,0.963,0.0591
CONT-0292,Basu-Contractor Infrastructure Pvt Ltd,DIST-0018,ST-01,Class B,5000000.0,0.826,0.0348
CONT-0293,Oza Ltd Infrastructure Pvt Ltd,DIST-0263,ST-06,Class C,5000000.0,0.872,0.0123
CONT-0294,Gala Ltd Infrastructure Pvt Ltd,DIST-0132,ST-03,Class B,5000000.0,0.795,0.0753
CONT-0295,Varty and Sons Infrastructure Pvt Ltd,DIST-0108,ST-02,Class A,20000000.0,0.827,0.1489
CONT-0296,"Dutta, Narayanan and Sandhu Infrastructure Pvt Ltd",DIST-0140,ST-03,Class A,5000000.0,0.935,0.022
CONT-0297,Kata-Ravel Infrastructure Pvt Ltd,DIST-0433,ST-11,Class C,5000000.0,0.963,0.0287
CONT-0298,"Gour, Grewal and Sankaran Infrastructure Pvt Ltd",DIST-0585,ST-17,Class C,5000000.0,0.964,0.0095
CONT-0299,Balakrishnan-Hora Infrastructure Pvt Ltd,DIST-0359,ST-09,Class B,100000000.0,0.924,0.0995
CONT-0300,Sengupta Enterprises,DIST-0271,ST-07,Class B,5000000.0,0.773,0.0592
CONT-0301,Sanghvi Enterprises,DIST-0477,ST-13,Class B,100000000.0,0.726,0.0471
CONT-0302,Agrawal-Kala Infrastructure Pvt Ltd,DIST-0196,ST-05,Class C,5000000.0,0.768,0.0202
CONT-0303,Jha Enterprises,DIST-0603,ST-18,Class B,20000000.0,0.893,0.1061
CONT-0304,Bhatnagar-Chaudry Infrastructure Pvt Ltd,DIST-0145,ST-03,Class B,5000000.0,0.95,0.0576
CONT-0305,Yadav Enterprises,DIST-0367,ST-09,Class C,20000000.0,0.71,0.0405
CONT-0306,Pau LLC Infrastructure Pvt Ltd,DIST-0118,ST-03,Class C,5000000.0,0.959,0.0586
CONT-0307,Hegde Enterprises,DIST-0414,ST-11,Class A,100000000.0,0.773,0.0419
CONT-0308,Comar-Lala Infrastructure Pvt Ltd,DIST-0522,ST-15,Class C,20000000.0,0.973,0.0713
CONT-0309,"Suri, Wable and Munshi Infrastructure Pvt Ltd",DIST-0395,ST-10,Class B,20000000.0,0.927,0.0189
CONT-0310,Rama Enterprises,DIST-0256,ST-06,Class B,5000000.0,0.966,0.1072
CONT-0311,"Ramanathan, Comar and Pall Infrastructure Pvt Ltd",DIST-0086,ST-02,Class C,5000000.0,0.959,0.1126
CONT-0312,Shankar-Gera Infrastructure Pvt Ltd,DIST-0110,ST-02,Class B,100000000.0,0.747,0.0801
CONT-0313,"Mishra, Chad and Desai Infrastructure Pvt Ltd",DIST-0616,ST-18,Class A,20000000.0,0.933,0.1879
CONT-0314,Dalal-Khare Infrastructure Pvt Ltd,DIST-0007,ST-01,Class B,5000000.0,0.932,0.0431
CONT-0315,Mody Enterprises,DIST-0352,ST-09,Class C,5000000.0,0.837,0.089
CONT-0316,Goswami LLC Infrastructure Pvt Ltd,DIST-0525,ST-15,Class C,100000000.0,0.79,0.1533
CONT-0317,Dhaliwal Enterprises,DIST-0262,ST-06,Class A,20000000.0,0.956,0.1194
CONT-0318,"Rama, Sahota and Devi Infrastructure Pvt Ltd",DIST-0461,ST-12,Class B,20000000.0,0.889,0.0252
CONT-0319,"Rajagopal, Sampath and Grewal Infrastructure Pvt Ltd",DIST-0006,ST-01,Class B,20000000.0,0.911,0.0053
CONT-0320,Yogi-Ghose Infrastructure Pvt Ltd,DIST-0512,ST-15,Class B,5000000.0,0.786,0.0965
