contractor_id,contractor_name,home_district_id,home_state_id,registration_category,financial_capacity,base_quality_score,past_irregularity_rate,contractor_past_irregularity_rate,contractor_capacity_strain,contractor_project_count,contractor_total_contract_value,contractor_average_contract_value,contractor_max_contract_value,contractor_project_share,contractor_value_share,contractor_district_concentration,contractor_agency_concentration,contractor_constituency_concentration,contractor_delay_rate,contractor_completion_rate,contractor_cancellation_rate,contractor_previous_irregularities,contractor_financial_capacity,contractor_value_to_capacity,repeated_agency_contractor_pair,shared_ownership,shared_directors,shared_shareholders,shared_address,beneficial_owner_overlap,contractor_financial_health,company_ownership_change,director_change,address_change
CONT-0083,"Jha, Suresh and Chand Infrastructure Pvt Ltd",DIST-0599,ST-18,Class C,20000000.0,0.908,0.1174,0.0124,1.432,21,219898558.68238777,5961250.842935106,15972445.371942379,0.3048,0.1063,0.512,0.458,0.774,0.232,0.879,0.064,0,100000000.0,1.324,0,0,0,0,0,0,0.781,1,0,0
CONT-0084,Uppal Enterprises,DIST-0186,ST-05,Class B,5000000.0,0.938,0.0029,0.049,1.039,10,195478776.76700443,10582007.444179887,34224699.77461498,0.1552,0.1701,0.602,0.235,0.324,0.445,0.869,0.034,0,20000000.0,0.564,1,0,0,0,0,0,0.871,0,1,0
CONT-0085,Bhakta-Setty Infrastructure Pvt Ltd,DIST-0048,ST-01,Class A,20000000.0,0.962,0.0488,0.0946,1.611,11,134074717.35030401,2067812.1738436264,33669683.29800375,0.0467,0.1967,0.395,0.475,0.503,0.056,0.744,0.079,0,5000000.0,0.65,0,0,0,0,0,0,0.659,0,0,0
CONT-0086,Varghese Group Infrastructure Pvt Ltd,DIST-0315,ST-07,Class B,5000000.0,0.752,0.0339,0.0921,1.319,19,175315383.32779887,9760489.172027195,45016358.00370879,0.0328,0.1463,0.939,0.328,0.196,0.342,0.907,0.054,1,20000000.0,0.39,0,0,0,0,0,0,0.931,0,0,0
CONT-0087,Shan Enterprises,DIST-0283,ST-07,Class B,5000000.0,0.703,0.0695,0.1972,1.169,22,92481059.5083441,8213101.491433975,23901338.263241835,0.0537,0.0252,0.227,0.445,0.639,0.103,0.91,0.057,0,5000000.0,0.473,1,1,1,0,0,0,0.567,0,0,0
CONT-0088,"Bhardwaj, Shere and Morar Infrastructure Pvt Ltd",DIST-0130,ST-03,Class C,5000000.0,0.735,0.044,0.2415,0.869,2,163488791.7778471,2110561.4966379395,34702310.34973483,0.0679,0.2925,0.626,0.481,0.621,0.393,0.907,0.044,0,20000000.0,1.305,0,0,0,0,0,0,0.655,0,0,0
CONT-0089,Bains Enterprises,DIST-0486,ST-14,Class B,20000000.0,0.812,0.0303,0.0906,1.453,4,53108224.406836785,7828708.090721906,40913619.69287145,0.3046,0.1026,0.647,0.31,0.819,0.151,0.89,0.018,0,20000000.0,0.66,0,0,0,0,0,0,0.926,0,0,0
CONT-0090,Kumar-Aggarwal Infrastructure Pvt Ltd,DIST-0419,ST-11,Class A,20000000.0,0.75,0.047,0.0398,1.633,44,248131946.27222484,9623225.421993129,48316443.28317072,0.3326,0.1322,0.848,0.755,0.682,0.409,0.777,0.032,0,20000000.0,1.432,0,0,0,0,0,0,0.971,0,0,0
CONT-0091,"Kamdar, Bora and Bath Infrastructure Pvt Ltd",DIST-0510,ST-15,Class B,5000000.0,0.881,0.1397,0.0648,1.236,31,151954561.85688862,12365176.215530328,48943512.55099853,0.1429,0.0685,0.302,0.618,0.51,0.124,0.941,0.077,0,5000000.0,0.499,0,0,0,0,0,0,0.812,0,0,0
CONT-0092,Padmanabhan-Bhatt Infrastructure Pvt Ltd,DIST-0501,ST-14,Class B,100000000.0,0.705,0.0547,0.146,1.712,36,15922098.74390255,8496124.176051686,11883273.762687247,0.0262,0.2434,0.783,0.225,0.688,0.333,0.898,0.02,0,5000000.0,0.534,0,0,0,0,0,0,0.627,0,0,0
CONT-0093,"Bhasin, Biswas and Sodhi Infrastructure Pvt Ltd",DIST-0393,ST-10,Class B,100000000.0,0.824,0.0122,0.0362,0.707,9,189368096.86391234,7333626.849384394,38625253.116478145,0.0124,0.1444,0.53,0.529,0.662,0.435,0.775,0.028,0,5000000.0,0.398,0,0,0,0,0,0,0.972,0,1,0
CONT-0094,Mangat Group Infrastructure Pvt Ltd,DIST-0537,ST-15,Class A,20000000.0,0.92,0.0182,0.0957,1.758,30,99316122.46051447,10751150.576584477,34274527.55851617,0.0108,0.2512,0.383,0.463,0.63,0.273,0.772,0.013,0,5000000.0,1.478,0,0,0,0,0,0,0.722,0,1,0
CONT-0095,Gole Enterprises,DIST-0294,ST-07,Class C,20000000.0,0.849,0.1736,0.0089,0.941,8,53325511.04468564,3837395.208137553,21444384.510496106,0.1556,0.374,0.827,0.525,0.83,0.307,0.938,0.02,0,5000000.0,0.212,0,1,1,0,0,0,0.791,0,1,0
CONT-0096,Salvi LLC Infrastructure Pvt Ltd,DIST-0546,ST-16,Class C,100000000.0,0.882,0.0437,0.1874,1.134,10,208475728.93071553,2301893.217041553,8560941.336529216,0.1244,0.3679,0.499,0.821,0.447,0.166,0.947,0.045,0,5000000.0,0.355,1,0,0,0,0,0,0.817,0,1,0
CONT-0097,Sen-Purohit Infrastructure Pvt Ltd,DIST-0472,ST-13,Class A,20000000.0,0.957,0.0907,0.0007,1.683,22,199061421.668944,4536045.188575338,32140860.133019645,0.1319,0.2425,0.707,0.443,0.262,0.179,0.869,0.054,0,5000000.0,1.346,0,0,0,1,0,0,0.698,0,0,0
CONT-0098,Prashad Enterprises,DIST-0296,ST-07,Class B,100000000.0,0.847,0.0279,0.1268,1.179,12,85406429.45341043,8762540.637235725,26616650.703985203,0.2537,0.2948,0.747,0.341,0.437,0.374,0.776,0.079,0,20000000.0,0.864,0,1,1,0,0,0,0.618,0,0,0
CONT-0099,Zacharia and Sons Infrastructure Pvt Ltd,DIST-0601,ST-18,Class B,100000000.0,0.968,0.0477,0.0164,0.436,19,129037924.99245842,10128263.099941947,19205058.756927833,0.0596,0.1798,0.908,0.359,0.607,0.07,0.887,0.019,0,5000000.0,0.358,0,0,0,0,0,0,0.78,0,0,0
CONT-0100,"Pall, Dani and Gokhale Infrastructure Pvt Ltd",DIST-0431,ST-11,Class B,5000000.0,0.942,0.1051,0.0086,0.64,17,15944397.13749887,4082307.391667751,45617364.92744615,0.3492,0.2002,0.572,0.741,0.127,0.221,0.683,0.032,4,20000000.0,1.579,0,0,0,0,0,0,0.882,0,0,0
CONT-0101,"Ramaswamy, Wadhwa and Datta Infrastructure Pvt Ltd",DIST-0420,ST-11,Class A,20000000.0,0.769,0.0412,0.1198,1.276,41,68927871.84123418,11686786.442780007,47546355.908375025,0.1395,0.0626,0.282,0.204,0.658,0.443,0.978,0.063,0,100000000.0,0.659,0,0,0,0,0,0,0.572,0,0,0
CONT-0102,"Kapoor, Aggarwal and Bajaj Infrastructure Pvt Ltd",DIST-0258,ST-06,Class C,20000000.0,0.955,0.188,0.0863,0.441,34,99760841.94871368,9719480.684830828,26188047.211962834,0.1339,0.2534,0.821,0.369,0.357,0.332,0.907,0.066,0,20000000.0,1.46,0,0,0,0,0,0,0.983,0,0,0
CONT-0103,Misra Enterprises,DIST-0157,ST-04,Class C,100000000.0,0.944,0.0256,0.1234,0.839,44,237938834.2550829,14894707.026186993,26438102.85257988,0.0703,0.2003,0.277,0.811,0.52,0.212,0.676,0.032,1,20000000.0,0.315,1,0,0,0,0,0,0.595,0,0,0
CONT-0104,Samra-Wali Infrastructure Pvt Ltd,DIST-0574,ST-17,Class B,5000000.0,0.83,0.0099,0.0537,1.642,36,196399093.34198624,3241553.699518529,38316240.89174408,0.106,0.0629,0.709,0.529,0.498,0.258,0.67,0.004,0,20000000.0,0.266,0,0,0,0,0,0,0.839,0,0,0
CONT-0105,Karpe-Kota Infrastructure Pvt Ltd,DIST-0209,ST-05,Class A,100000000.0,0.756,0.0743,0.0228,0.886,31,174655751.11510465,6037647.092296338,49236749.21740466,0.2306,0.2463,0.252,0.396,0.435,0.302,0.819,0.061,0,20000000.0,1.343,0,0,0,0,1,0,0.941,0,0,0
CONT-0106,Pal-Dubey Infrastructure Pvt Ltd,DIST-0450,ST-12,Class A,5000000.0,0.748,0.0194,0.0189,0.736,44,161079902.12849227,12983047.70988776,29878255.067468002,0.0818,0.2991,0.702,0.596,0.748,0.364,0.87,0.053,0,20000000.0,0.849,0,0,0,0,0,0,0.766,0,0,0
CONT-0107,Gulati-Chowdhury Infrastructure Pvt Ltd,DIST-0009,ST-01,Class C,100000000.0,0.857,0.0821,0.0497,1.246,42,43146342.68436948,7727906.914463863,35990018.75522099,0.2935,0.2036,0.355,0.61,0.441,0.359,0.833,0.022,1,20000000.0,0.449,0,0,0,0,0,0,0.86,0,0,0
CONT-0108,Saini PLC Infrastructure Pvt Ltd,DIST-0484,ST-14,Class B,100000000.0,0.77,0.1187,0.0467,1.628,16,75694389.87096317,4044346.966181288,48905502.88540558,0.0901,0.0885,0.666,0.589,0.269,0.318,0.682,0.002,0,5000000.0,1.565,0,0,0,0,0,0,0.691,0,0,0
CONT-0109,Khosla and Sons Infrastructure Pvt Ltd,DIST-0016,ST-01,Class B,20000000.0,0.843,0.0281,0.0788,0.508,27,244468569.85433865,4758174.88980998,36088456.205329835,0.2264,0.2561,0.355,0.606,0.569,0.278,0.711,0.058,0,20000000.0,0.811,0,0,0,0,0,0,0.627,0,0,0
CONT-0110,Chaudhuri PLC Infrastructure Pvt Ltd,DIST-0067,ST-01,Class B,5000000.0,0.843,0.0413,0.0176,1.747,14,230155785.34910163,6613145.437520085,43584674.074249774,0.0902,0.2859,0.266,0.89,0.815,0.227,0.823,0.048,0,20000000.0,1.178,0,0,0,0,0,0,0.954,0,0,0
CONT-0111,Bandi Enterprises,DIST-0306,ST-07,Class B,20000000.0,0.889,0.0474,0.0341,0.506,1,38898768.61104932,10507820.313631985,23797660.45205734,0.2542,0.0304,0.616,0.301,0.612,0.098,0.674,0.057,0,5000000.0,1.355,0,1,1,0,0,0,0.693,0,0,0
CONT-0112,Bava-Konda Infrastructure Pvt Ltd,DIST-0392,ST-10,Class B,20000000.0,0.836,0.0144,0.0581,0.656,26,131631699.24774523,8864476.41766075,49161735.959666274,0.1346,0.3778,0.721,0.643,0.276,0.071,0.794,0.001,0,20000000.0,1.214,1,0,0,0,0,0,0.968,0,0,0
CONT-0113,Basu Enterprises,DIST-0585,ST-17,Class B,20000000.0,0.971,0.2305,0.1279,1.653,44,217237872.10298434,8471522.560571022,24289115.15695108,0.1802,0.0881,0.543,0.795,0.701,0.115,0.872,0.069,1,20000000.0,0.267,0,0,0,0,0,0,0.709,0,0,0
CONT-0114,Ratti Enterprises,DIST-0063,ST-01,Class C,100000000.0,0.944,0.0442,0.0363,0.966,6,147594733.7714329,2361193.2467931034,48103965.33740371,0.1086,0.0649,0.204,0.8,0.747,0.088,0.7,0.036,0,20000000.0,0.281,0,0,0,0,0,0,0.755,0,0,0
CONT-0115,Sarna Enterprises,DIST-0252,ST-06,Class B,5000000.0,0.736,0.0616,0.03,0.402,29,73507978.25901428,3121027.9127800413,43078821.92364987,0.0127,0.2948,0.941,0.537,0.378,0.292,0.916,0.019,0,20000000.0,1.516,0,0,0,0,0,0,0.987,0,0,0
CONT-0116,Kaur Enterprises,DIST-0302,ST-07,Class B,20000000.0,0.807,0.0462,0.0835,1.739,41,87022523.08191036,2262397.441891513,32178917.604122937,0.1591,0.3023,0.593,0.254,0.284,0.403,0.662,0.059,0,20000000.0,0.943,0,0,0,0,0,0,0.855,0,0,0
CONT-0117,"Kalla, Bhalla and Dey Infrastructure Pvt Ltd",DIST-0552,ST-16,Class A,5000000.0,0.884,0.0491,0.0408,0.7,27,61921314.43256992,13738257.757571783,15655949.68684963,0.0511,0.0237,0.234,0.334,0.556,0.057,0.745,0.005,0,5000000.0,1.051,0,0,0,0,0,0,0.649,0,0,0
CONT-0118,"Mann, Kaur and Nagar Infrastructure Pvt Ltd",DIST-0233,ST-06,Class B,20000000.0,0.716,0.0289,0.03,1.147,31,102606634.26563068,2603434.985286976,45928456.53373191,0.1787,0.1875,0.586,0.756,0.268,0.334,0.885,0.068,0,5000000.0,0.859,0,0,0,0,0,0,0.812,0,0,0
CONT-0119,Nagi Enterprises,DIST-0278,ST-07,Class B,5000000.0,0.71,0.1111,0.1257,1.126,8,46752844.64508918,8507854.921881134,7697199.947017096,0.3248,0.0326,0.518,0.2,0.69,0.116,0.955,0.004,1,20000000.0,0.55,1,0,0,0,0,0,0.914,0,0,0
CONT-0120,Khalsa Enterprises,DIST-0310,ST-07,Class B,5000000.0,0.942,0.091,0.0779,1.318,43,176303619.65387258,13972530.730365748,15146788.385279736,0.0787,0.2879,0.576,0.619,0.631,0.269,0.91,0.026,1,5000000.0,1.088,0,0,0,0,0,0,0.694,0,0,0
CONT-0121,Mittal Enterprises,DIST-0494,ST-14,Class B,20000000.0,0.711,0.0698,0.147,1.629,5,78293592.50879386,5546056.563299623,39535509.969007306,0.2501,0.3622,0.372,0.75,0.53,0.173,0.662,0.066,0,20000000.0,0.968,1,0,0,0,0,0,0.908,0,0,0
CONT-0122,Verma and Sons Infrastructure Pvt Ltd,DIST-0181,ST-05,Class B,20000000.0,0.826,0.0661,0.0116,1.412,30,246261377.923824,6377108.420610826,33908693.6204262,0.0476,0.2867,0.83,0.274,0.194,0.162,0.654,0.079,0,20000000.0,1.543,0,0,0,0,0,0,0.699,0,0,0
CONT-0123,Mital-Maharaj Infrastructure Pvt Ltd,DIST-0059,ST-01,Class B,5000000.0,0.746,0.0037,0.0889,0.653,25,184027435.91669735,8619376.177204981,6976766.460802321,0.065,0.3747,0.277,0.645,0.694,0.156,0.889,0.014,0,5000000.0,1.595,1,0,0,0,0,0,0.957,0,0,0
CONT-0124,Gill Ltd Infrastructure Pvt Ltd,DIST-0198,ST-05,Class A,100000000.0,0.964,0.0896,0.1059,1.291,15,240912447.75604606,11170747.428076005,5057318.581290072,0.0179,0.2792,0.509,0.788,0.23,0.056,0.778,0.059,2,100000000.0,0.878,0,0,0,0,0,0,0.802,0,0,0
CONT-0125,Sane Enterprises,DIST-0266,ST-07,Class C,5000000.0,0.924,0.0437,0.114,0.585,3,167395009.18219724,12520139.286453992,36363673.80726087,0.292,0.0734,0.573,0.667,0.178,0.11,0.859,0.069,0,5000000.0,1.559,1,0,0,0,0,0,0.979,0,0,0
CONT-0126,"Tandon, Batta and Padmanabhan Infrastructure Pvt Ltd",DIST-0593,ST-17,Class C,100000000.0,0.801,0.0022,0.0791,1.031,20,27739031.16685692,4918324.214357668,9070628.447159206,0.0531,0.0738,0.427,0.208,0.813,0.1,0.776,0.07,0,20000000.0,1.383,0,0,0,0,0,0,0.874,0,0,1
CONT-0127,Raj Enterprises,DIST-0194,ST-05,Class A,20000000.0,0.958,0.0693,0.0088,0.892,4,127044618.90961376,12277501.587529937,19304717.73812678,0.2631,0.0671,0.621,0.463,0.504,0.093,0.965,0.072,1,100000000.0,0.405,0,0,0,0,0,0,0.94,0,0,0
CONT-0128,Vohra Enterprises,DIST-0211,ST-05,Class B,100000000.0,0.871,0.1476,0.2118,1.728,30,83155458.58543713,8129204.406249511,5020228.673341493,0.3231,0.0486,0.712,0.64,0.707,0.311,0.904,0.034,0,20000000.0,0.996,0,0,0,0,0,0,0.664,0,1,0
CONT-0129,Nagar Enterprises,DIST-0074,ST-01,Class B,20000000.0,0.7,0.1066,0.0987,1.433,27,25185172.35870993,6694559.261982706,28741852.154695805,0.2693,0.1405,0.406,0.747,0.287,0.378,0.708,0.029,0,5000000.0,0.205,1,0,0,0,0,0,0.688,0,1,0
CONT-0130,Saha Enterprises,DIST-0046,ST-01,Class C,100000000.0,0.788,0.018,0.047,0.493,1,82205859.48809096,7516576.792411907,26290852.06768412,0.1091,0.3183,0.367,0.688,0.739,0.291,0.767,0.015,0,20000000.0,0.857,1,0,0,0,0,0,0.845,0,0,0
CONT-0131,Rege Enterprises,DIST-0151,ST-04,Class C,20000000.0,0.735,0.154,0.0251,1.782,36,147514646.51182023,9942485.376314353,29709823.82110084,0.3055,0.246,0.581,0.286,0.627,0.103,0.659,0.039,0,100000000.0,1.197,0,0,0,0,0,0,0.774,0,0,0
CONT-0132,Mital Group Infrastructure Pvt Ltd,DIST-0152,ST-04,Class B,5000000.0,0.766,0.0243,0.0376,1.704,24,233091246.05734575,6031560.263944888,37245307.02272343,0.2725,0.3905,0.214,0.867,0.394,0.385,0.83,0.045,0,100000000.0,0.57,0,0,0,0,0,0,0.877,0,0,0
CONT-0133,Yogi Group Infrastructure Pvt Ltd,DIST-0374,ST-09,Class C,20000000.0,0.754,0.1521,0.079,0.427,25,68680446.3185991,11436960.3171541,39911991.43931429,0.2023,0.1095,0.591,0.21,0.611,0.296,0.657,0.065,1,5000000.0,1.09,0,0,0,0,0,0,0.635,0,0,0
CONT-0134,Kar LLC Infrastructure Pvt Ltd,DIST-0069,ST-01,Class A,5000000.0,0.952,0.1406,0.0082,0.774,34,15536788.83743868,3689298.683805563,28321288.824235607,0.1153,0.3866,0.554,0.258,0.113,0.34,0.707,0.015,0,5000000.0,1.063,0,0,0,0,0,0,0.895,0,0,1
CONT-0135,"Dhawan, Sheth and Bhardwaj Infrastructure Pvt Ltd",DIST-0314,ST-07,Class B,100000000.0,0.765,0.0235,0.077,0.45,31,30113309.39372776,2610640.7714469577,17368613.87530964,0.1718,0.3592,0.793,0.338,0.379,0.362,0.824,0.014,0,20000000.0,1.563,0,0,0,1,0,0,0.86,0,0,0
CONT-0136,Sachar Enterprises,DIST-0525,ST-15,Class B,20000000.0,0.915,0.1372,0.074,0.472,18,164971973.9059693,5398671.356156804,33582025.322726585,0.0537,0.0371,0.945,0.645,0.29,0.23,0.964,0.035,2,100000000.0,0.682,0,0,0,0,0,0,0.889,0,1,0
CONT-0137,Wagle-Desai Infrastructure Pvt Ltd,DIST-0493,ST-14,Class B,5000000.0,0.705,0.1077,0.0436,1.315,12,238487321.40585598,13784089.473713385,38724367.5599257,0.0165,0.1974,0.872,0.504,0.822,0.311,0.686,0.041,0,5000000.0,0.683,0,0,0,0,0,0,0.703,0,0,0
CONT-0138,Kibe-Kumer Infrastructure Pvt Ltd,DIST-0369,ST-09,Class A,20000000.0,0.768,0.1698,0.124,0.444,8,230720351.37077564,7122678.482824884,8288023.414787027,0.2836,0.3387,0.452,0.563,0.707,0.127,0.858,0.034,0,100000000.0,0.655,0,0,0,0,0,0,0.776,0,0,0
CONT-0139,Narayanan Ltd Infrastructure Pvt Ltd,DIST-0477,ST-13,Class B,5000000.0,0.917,0.1178,0.0549,1.203,27,203900420.48996797,10012047.332264211,24277046.719664205,0.2828,0.1875,0.371,0.531,0.153,0.409,0.891,0.061,1,20000000.0,0.805,1,0,0,0,0,0,0.961,0,0,0
CONT-0140,Brar Enterprises,DIST-0040,ST-01,Class B,5000000.0,0.785,0.0336,0.1256,1.356,31,25296517.017971125,13116448.726309473,32326776.53147556,0.0661,0.1262,0.942,0.644,0.577,0.079,0.97,0.071,0,5000000.0,1.177,0,0,0,0,0,0,0.98,0,0,0
CONT-0141,Prabhakar-Chanda Infrastructure Pvt Ltd,DIST-0147,ST-03,Class C,20000000.0,0.929,0.0654,0.0538,1.383,25,196701241.79963425,4900460.2014391655,33040523.281740602,0.1103,0.0218,0.335,0.272,0.247,0.368,0.747,0.061,2,20000000.0,0.88,0,0,0,0,0,0,0.738,0,0,0
CONT-0142,"Halder, Behl and Loyal Infrastructure Pvt Ltd",DIST-0615,ST-18,Class C,100000000.0,0.835,0.0136,0.1297,1.247,18,213307327.0944352,11935612.973776527,23346240.917503957,0.0584,0.2712,0.336,0.593,0.836,0.27,0.863,0.054,1,20000000.0,0.897,1,0,0,0,0,0,0.68,0,0,1
CONT-0143,Baral-Bora Infrastructure Pvt Ltd,DIST-0544,ST-16,Class A,5000000.0,0.976,0.1548,0.0949,1.778,24,121231735.71066399,6696567.213666655,22571037.24034385,0.2553,0.1576,0.906,0.753,0.121,0.377,0.905,0.041,0,100000000.0,0.795,1,0,0,0,0,0,0.667,0,0,0
CONT-0144,Kalla Group Infrastructure Pvt Ltd,DIST-0160,ST-04,Class C,100000000.0,0.752,0.0447,0.0634,1.515,10,82548931.71301602,7497062.5251063295,31351190.604990944,0.0608,0.1408,0.864,0.534,0.658,0.244,0.803,0.05,0,5000000.0,1.585,0,0,0,0,0,0,0.61,1,0,0
CONT-0145,Natarajan LLC Infrastructure Pvt Ltd,DIST-0021,ST-01,Class A,20000000.0,0.751,0.1439,0.0807,0.81,25,234562328.84705028,7055324.829088007,31337107.840125065,0.1125,0.284,0.276,0.25,0.658,0.341,0.737,0.028,2,5000000.0,0.456,0,0,0,0,0,0,0.836,0,0,0
CONT-0146,Kakar and Sons Infrastructure Pvt Ltd,DIST-0142,ST-03,Class B,20000000.0,0.792,0.153,0.0205,1.527,1,227397028.52112412,11186394.088847067,7462396.6991176875,0.2818,0.2075,0.539,0.494,0.555,0.34,0.946,0.022,0,20000000.0,1.145,0,0,0,0,1,0,0.885,0,0,0
CONT-0147,Dalal Enterprises,DIST-0133,ST-03,Class B,100000000.0,0.827,0.0809,0.0892,1.491,42,215680652.0878116,11975379.62543375,43761371.175566934,0.3143,0.0996,0.591,0.795,0.383,0.074,0.746,0.019,1,20000000.0,1.157,0,1,1,0,1,1,0.885,1,0,0
CONT-0148,"Srinivas, Kibe and Jayaraman Infrastructure Pvt Ltd",DIST-0066,ST-01,Class B,5000000.0,0.89,0.0361,0.1997,1.75,37,158099002.27562034,12436491.69854424,5046717.072746188,0.1892,0.2646,0.738,0.458,0.322,0.123,0.834,0.074,1,5000000.0,0.561,0,0,0,0,0,0,0.772,0,0,0
CONT-0149,Khatri-Nagy Infrastructure Pvt Ltd,DIST-0265,ST-06,Class B,100000000.0,0.833,0.046,0.0244,1.714,31,191612182.437649,13999056.564184403,48667647.329664335,0.3322,0.2265,0.569,0.891,0.264,0.125,0.968,0.055,0,5000000.0,0.919,0,0,0,0,0,0,0.728,0,0,0
CONT-0150,Rai-Shukla Infrastructure Pvt Ltd,DIST-0226,ST-05,Class B,5000000.0,0.849,0.0248,0.0723,1.798,14,225051595.7027517,9919417.398774926,37178157.50630668,0.2007,0.0805,0.835,0.78,0.362,0.356,0.829,0.073,1,5000000.0,1.431,0,0,0,0,0,0,0.603,0,0,0
CONT-0151,"Parmer, Morar and Lal Infrastructure Pvt Ltd",DIST-0161,ST-04,Class B,5000000.0,0.973,0.02,0.0738,1.475,25,181835123.39295194,2265482.7625457216,42188022.62637767,0.1778,0.3753,0.483,0.384,0.846,0.262,0.935,0.073,0,20000000.0,0.974,0,0,0,0,0,0,0.694,0,0,0
CONT-0152,Varghese-Tank Infrastructure Pvt Ltd,DIST-0151,ST-04,Class B,5000000.0,0.737,0.2204,0.0203,0.514,3,148420286.17475304,4993389.302989873,17645561.790562388,0.0854,0.1446,0.874,0.502,0.413,0.205,0.968,0.009,1,5000000.0,1.539,0,0,0,0,0,0,0.779,0,0,0
CONT-0153,Chaudhari-Singh Infrastructure Pvt Ltd,DIST-0257,ST-06,Class B,100000000.0,0.905,0.0489,0.0346,0.619,41,216181998.05121297,3227454.138483906,35021780.53486794,0.2183,0.3483,0.33,0.76,0.438,0.221,0.769,0.031,0,5000000.0,0.795,0,0,0,0,0,0,0.623,0,0,0
CONT-0154,Jani-Prabhakar Infrastructure Pvt Ltd,DIST-0268,ST-07,Class A,100000000.0,0.788,0.0069,0.1256,1.606,23,124968172.44380632,4217038.685642306,19709615.046089496,0.1094,0.2897,0.219,0.299,0.612,0.099,0.666,0.009,0,5000000.0,0.405,1,0,0,0,0,0,0.638,1,0,0
CONT-0155,Munshi Enterprises,DIST-0561,ST-16,Class C,5000000.0,0.961,0.0262,0.0742,1.213,15,112095229.59565882,11116739.852540368,46436958.71215762,0.2139,0.0986,0.213,0.633,0.748,0.076,0.781,0.075,0,5000000.0,0.695,0,0,0,0,0,0,0.841,0,0,0
CONT-0156,Sachdev Enterprises,DIST-0315,ST-07,Class A,20000000.0,0.734,0.0701,0.1017,1.263,37,84977241.16189225,3036302.53177669,12017568.337993124,0.0411,0.356,0.483,0.566,0.677,0.199,0.864,0.006,0,5000000.0,0.548,0,0,0,0,0,0,0.847,0,1,0
CONT-0157,Bath Enterprises,DIST-0480,ST-13,Class B,20000000.0,0.912,0.0026,0.0765,0.732,38,70049946.50490883,8873429.958929928,25812868.239793304,0.2754,0.1036,0.35,0.532,0.138,0.142,0.767,0.039,0,20000000.0,1.43,0,0,0,0,0,0,0.577,0,0,0
CONT-0158,Kant Enterprises,DIST-0304,ST-07,Class B,100000000.0,0.757,0.0367,0.0411,1.102,30,217058673.76339465,5701269.756760325,48262135.322623074,0.3267,0.1793,0.371,0.784,0.371,0.115,0.832,0.039,1,20000000.0,1.427,0,0,0,0,0,0,0.77,0,0,0
CONT-0159,"Dhingra, Babu and Lal Infrastructure Pvt Ltd",DIST-0048,ST-01,Class C,5000000.0,0.764,0.088,0.098,1.369,36,94337064.77160698,6353721.977590694,28032341.03953348,0.3023,0.0683,0.456,0.684,0.133,0.382,0.967,0.049,2,20000000.0,0.781,1,0,0,1,0,0,0.658,0,0,0
CONT-0160,"Sahni, Merchant and Dua Infrastructure Pvt Ltd",DIST-0154,ST-04,Class A,20000000.0,0.845,0.1913,0.0438,1.048,33,134501301.99132234,13995511.876010904,14018340.118884202,0.0464,0.3319,0.545,0.818,0.33,0.301,0.955,0.014,1,20000000.0,1.338,1,0,0,0,0,0,0.607,0,1,0
CONT-0161,Narayan and Sons Infrastructure Pvt Ltd,DIST-0098,ST-02,Class B,20000000.0,0.754,0.1031,0.0898,0.872,19,178616487.89201608,7563286.750498171,44199212.964596756,0.2411,0.337,0.737,0.304,0.833,0.365,0.839,0.013,0,20000000.0,0.783,0,0,0,0,0,0,0.776,0,0,0
CONT-0162,Korpal-Tata Infrastructure Pvt Ltd,DIST-0282,ST-07,Class C,20000000.0,0.843,0.01,0.0683,1.569,41,27795665.91185073,13524797.62449657,10949420.1645891,0.0219,0.2912,0.836,0.56,0.505,0.185,0.729,0.06,1,5000000.0,0.583,0,0,0,0,0,0,0.674,1,0,0
CONT-0163,"Nazareth, Kurian and Suresh Infrastructure Pvt Ltd",DIST-0099,ST-02,Class C,5000000.0,0.725,0.0193,0.065,0.806,31,186242977.9795344,7619827.537899028,21111181.228064362,0.2874,0.3053,0.499,0.439,0.129,0.083,0.668,0.002,0,100000000.0,1.317,0,0,0,0,0,0,0.825,0,0,0
CONT-0164,"Swaminathan, Sharma and Ganguly Infrastructure Pvt Ltd",DIST-0541,ST-15,Class B,20000000.0,0.729,0.0807,0.0464,0.951,34,134793018.36605197,8113075.502208918,32582700.700923685,0.3111,0.1277,0.565,0.203,0.745,0.172,0.74,0.08,0,5000000.0,0.572,0,0,0,0,0,0,0.739,0,0,0
CONT-0165,Pandey Enterprises,DIST-0322,ST-08,Class C,20000000.0,0.721,0.0604,0.1306,0.739,23,49399281.66704358,12267914.287150333,41332011.07005899,0.2963,0.0293,0.521,0.793,0.372,0.328,0.844,0.028,0,20000000.0,0.387,0,0,0,0,1,0,0.599,0,0,0
CONT-0166,Dey Ltd Infrastructure Pvt Ltd,DIST-0309,ST-07,Class C,20000000.0,0.824,0.0894,0.1068,1.791,32,226469071.2948085,12478661.334096786,8060301.064379889,0.1236,0.0954,0.698,0.589,0.471,0.355,0.76,0.031,1,100000000.0,1.287,1,0,0,0,0,0,0.642,0,0,0
