agency_id,agency_name,district_id,agency_workload_ratio,agency_completion_rate
AGY-0412,DRDA DIST-344,DIST-344,0.81,65.2
AGY-0413,Zilla Parishad DIST-081,DIST-081,0.97,70.4
AGY-0414,Zilla Parishad DIST-114,DIST-114,1.05,89.6
AGY-0415,Rural Engineering Dept DIST-250,DIST-250,1.38,94.7
AGY-0416,PWD Division DIST-185,DIST-185,0.74,85.1
AGY-0417,DRDA DIST-102,DIST-102,0.53,93.7
AGY-0418,Zilla Parishad DIST-140,DIST-140,1.32,76.1
AGY-0419,Rural Engineering Dept DIST-188,DIST-188,0.53,73.5
AGY-0420,Zilla Parishad DIST-245,DIST-245,1.19,89.9
AGY-0421,PWD Division DIST-176,DIST-176,0.49,70.1
AGY-0422,Zilla Parishad DIST-223,DIST-223,1.08,84.7
AGY-0423,DRDA DIST-173,DIST-173,1.38,81.0
AGY-0424,Zilla Parishad DIST-077,DIST-077,1.59,85.0
AGY-0425,Rural Engineering Dept DIST-429,DIST-429,0.84,71.0
AGY-0426,Zilla Parishad DIST-415,DIST-415,0.48,94.6
AGY-0427,PWD Division DIST-399,DIST-399,1.55,73.4
AGY-0428,PWD Division DIST-085,DIST-085,1.13,90.1
AGY-0429,PWD Division DIST-256,DIST-256,1.0,82.6
AGY-0430,DRDA DIST-399,DIST-399,0.7,93.0
AGY-0431,PWD Division DIST-305,DIST-305,0.58,74.9
AGY-0432,DRDA DIST-192,DIST-192,0.42,67.1
AGY-0433,DRDA DIST-378,DIST-378,0.44,85.4
AGY-0434,DRDA DIST-193,DIST-193,0.65,69.6
AGY-0435,Rural Engineering Dept DIST-435,DIST-435,1.54,86.5
AGY-0436,Zilla Parishad DIST-482,DIST-482,0.79,78.4
AGY-0437,Rural Engineering Dept DIST-451,DIST-451,1.6,88.4
AGY-0438,DRDA DIST-477,DIST-477,1.11,80.6
AGY-0439,DRDA DIST-394,DIST-394,0.67,82.0
AGY-0440,DRDA DIST-061,DIST-061,0.49,82.4
AGY-0441,PWD Division DIST-380,DIST-380,1.5,65.3
AGY-0442,PWD Division DIST-228,DIST-228,0.76,85.0
AGY-0443,DRDA DIST-022,DIST-022,0.56,80.0
AGY-0444,Rural Engineering Dept DIST-311,DIST-311,0.69,77.3
AGY-0445,PWD Division DIST-260,DIST-260,0.65,77.5
AGY-0446,Zilla Parishad DIST-444,DIST-444,0.43,95.7
AGY-0447,Zilla Parishad DIST-480,DIST-480,1.15,73.8
AGY-0448,PWD Division DIST-120,DIST-120,1.06,84.0
AGY-0449,Rural Engineering Dept DIST-378,DIST-378,1.35,81.1
AGY-0450,PWD Division DIST-327,DIST-327,1.07,79.8
AGY-0451,DRDA DIST-428,DIST-428,0.41,74.8
AGY-0452,Rural Engineering Dept DIST-441,DIST-441,0.98,88.6
AGY-0453,Zilla Parishad DIST-260,DIST-260,1.54,71.9
AGY-0454,Rural Engineering Dept DIST-050,DIST-050,1.13,92.8
AGY-0455,PWD Division DIST-402,DIST-402,1.21,90.0
AGY-0456,DRDA DIST-286,DIST-286,1.31,91.8
AGY-0457,DRDA DIST-431,DIST-431,1.46,71.7
AGY-0458,Zilla Parishad DIST-156,DIST-156,0.72,79.1
AGY-0459,DRDA DIST-268,DIST-268,0.53,88.1
AGY-0460,Rural Engineering Dept DIST-407,DIST-407,0.43,94.1
AGY-0461,Rural Engineering Dept DIST-073,DIST-073,1.33,76.9
AGY-0462,PWD Division DIST-195,DIST-195,1.3,84.6
AGY-0463,PWD Division DIST-286,DIST-286,0.52,89.8
AGY-0464,DRDA DIST-397,DIST-397,0.78,81.9
AGY-0465,PWD Division DIST-458,DIST-458,1.28,70.8
AGY-0466,PWD Division DIST-138,DIST-138,0.52,74.1
AGY-0467,PWD Division DIST-092,DIST-092,1.04,78.5
AGY-0468,PWD Division DIST-188,DIST-188,1.26,71.4
AGY-0469,Zilla Parishad DIST-028,DIST-028,1.4,80.4
AGY-0470,PWD Division DIST-150,DIST-150,0.58,66.4
AGY-0471,Rural Engineering Dept DIST-399,DIST-399,1.47,85.2
AGY-0472,PWD Division DIST-111,DIST-111,1.15,77.0
AGY-0473,DRDA DIST-031,DIST-031,1.51,81.0
AGY-0474,Zilla Parishad DIST-130,DIST-130,1.6,76.9
AGY-0475,Zilla Parishad DIST-246,DIST-246,1.43,72.2
AGY-0476,DRDA DIST-022,DIST-022,1.57,78.2
AGY-0477,DRDA DIST-207,DIST-207,1.0,84.2
AGY-0478,PWD Division DIST-052,DIST-052,1.53,93.4
AGY-0479,Zilla Parishad DIST-446,DIST-446,0.44,87.1
AGY-0480,PWD Division DIST-457,DIST-457,0.63,89.8
AGY-0481,DRDA DIST-233,DIST-233,1.5,66.3
AGY-0482,DRDA DIST-276,DIST-276,0.56,70.5
AGY-0483,Zilla Parishad DIST-205,DIST-205,0.87,80.1
AGY-0484,Rural Engineering Dept DIST-008,DIST-008,1.19,74.0
AGY-0485,Rural Engineering Dept DIST-206,DIST-206,0.9,79.0
AGY-0486,DRDA DIST-046,DIST-046,0.72,88.8
AGY-0487,Rural Engineering Dept DIST-220,DIST-220,1.07,84.3
AGY-0488,Zilla Parishad DIST-013,DIST-013,1.39,84.1
AGY-0489,PWD Division DIST-270,DIST-270,1.0,93.2
AGY-0490,PWD Division DIST-237,DIST-237,0.86,72.4
AGY-0491,DRDA DIST-270,DIST-270,0.6,95.8
AGY-0492,Rural Engineering Dept DIST-008,DIST-008,1.48,70.3
AGY-0493,DRDA DIST-318,DIST-318,1.55,67.8
AGY-0494,DRDA DIST-192,DIST-192,1.5,94.4
AGY-0495,PWD Division DIST-047,DIST-047,1.43,85.2
AGY-0496,Rural Engineering Dept DIST-003,DIST-003,1.28,95.3
AGY-0497,Zilla Parishad DIST-039,DIST-039,0.71,82.8
AGY-0498,DRDA DIST-272,DIST-272,0.65,87.3
AGY-0499,DRDA DIST-071,DIST-071,1.06,87.5
AGY-0500,Rural Engineering Dept DIST-405,DIST-405,0.96,92.4
AGY-0501,DRDA DIST-271,DIST-271,1.35,86.9
AGY-0502,DRDA DIST-146,DIST-146,0.47,88.2
AGY-0503,Rural Engineering Dept DIST-187,DIST-187,0.76,90.4
AGY-0504,Zilla Parishad DIST-067,DIST-067,1.52,78.0
AGY-0505,PWD Division DIST-463,DIST-463,1.49,74.8
AGY-0506,Zilla Parishad DIST-395,DIST-395,1.59,85.2
AGY-0507,Zilla Parishad DIST-027,DIST-027,1.02,69.7
AGY-0508,Rural Engineering Dept DIST-020,DIST-020,1.28,65.0
AGY-0509,DRDA DIST-160,DIST-160,0.58,95.5
AGY-0510,Rural Engineering Dept DIST-475,DIST-475,1.06,85.8
AGY-0511,PWD Division DIST-130,DIST-130,0.95,93.9
AGY-0512,Zilla Parishad DIST-310,DIST-310,0.7,83.4
AGY-0513,Zilla Parishad DIST-417,DIST-417,1.01,87.7
AGY-0514,DRDA DIST-066,DIST-066,0.41,73.2
AGY-0515,DRDA DIST-002,DIST-002,1.32,70.9
AGY-0516,Rural Engineering Dept DIST-427,DIST-427,0.82,90.9
AGY-0517,DRDA DIST-394,DIST-394,1.05,73.5
AGY-0518,PWD Division DIST-378,DIST-378,0.4,73.6
AGY-0519,DRDA DIST-026,DIST-026,1.06,89.1
AGY-0520,PWD Division DIST-294,DIST-294,1.04,71.1
AGY-0521,Rural Engineering Dept DIST-088,DIST-088,0.56,69.6
AGY-0522,DRDA DIST-043,DIST-043,0.88,80.5
AGY-0523,Zilla Parishad DIST-149,DIST-149,0.96,66.4
AGY-0524,Rural Engineering Dept DIST-241,DIST-241,0.47,68.7
AGY-0525,Rural Engineering Dept DIST-257,DIST-257,0.59,90.2
AGY-0526,Rural Engineering Dept DIST-417,DIST-417,1.01,87.7
AGY-0527,Rural Engineering Dept DIST-255,DIST-255,0.9,76.4
AGY-0528,DRDA DIST-069,DIST-069,1.33,89.1
AGY-0529,Zilla Parishad DIST-361,DIST-361,1.01,82.1
AGY-0530,Zilla Parishad DIST-429,DIST-429,0.85,89.3
AGY-0531,PWD Division DIST-057,DIST-057,1.09,76.8
AGY-0532,DRDA DIST-016,DIST-016,0.62,95.0
AGY-0533,PWD Division DIST-122,DIST-122,1.0,65.2
AGY-0534,DRDA DIST-391,DIST-391,1.36,72.8
AGY-0535,PWD Division DIST-027,DIST-027,1.37,95.3
AGY-0536,DRDA DIST-075,DIST-075,1.53,76.1
AGY-0537,DRDA DIST-442,DIST-442,1.18,92.6
AGY-0538,DRDA DIST-126,DIST-126,0.43,67.0
AGY-0539,Zilla Parishad DIST-212,DIST-212,0.56,79.3
AGY-0540,Zilla Parishad DIST-167,DIST-167,0.75,80.2
AGY-0541,PWD Division DIST-223,DIST-223,1.16,71.0
AGY-0542,Zilla Parishad DIST-389,DIST-389,1.43,90.2
AGY-0543,DRDA DIST-273,DIST-273,0.92,81.4
AGY-0544,Zilla Parishad DIST-315,DIST-315,1.51,66.3
AGY-0545,Zilla Parishad DIST-261,DIST-261,0.78,82.3
AGY-0546,PWD Division DIST-230,DIST-230,0.93,69.6
AGY-0547,DRDA DIST-224,DIST-224,1.52,81.6
AGY-0548,DRDA DIST-045,DIST-045,1.39,71.9
AGY-0549,DRDA DIST-053,DIST-053,0.91,75.5
AGY-0550,DRDA DIST-060,DIST-060,1.35,71.9
AGY-0551,PWD Division DIST-466,DIST-466,0.42,80.7
AGY-0552,Rural Engineering Dept DIST-145,DIST-145,0.74,75.1
AGY-0553,Rural Engineering Dept DIST-459,DIST-459,0.83,80.4
AGY-0554,PWD Division DIST-264,DIST-264,0.74,74.1
AGY-0555,Rural Engineering Dept DIST-374,DIST-374,1.26,82.9
AGY-0556,DRDA DIST-413,DIST-413,1.53,68.1
AGY-0557,DRDA DIST-209,DIST-209,1.44,65.9
AGY-0558,DRDA DIST-472,DIST-472,1.55,86.0
AGY-0559,Rural Engineering Dept DIST-280,DIST-280,1.3,76.7
AGY-0560,PWD Division DIST-152,DIST-152,0.74,79.7
AGY-0561,Zilla Parishad DIST-030,DIST-030,1.34,85.6
AGY-0562,PWD Division DIST-220,DIST-220,1.2,73.4
AGY-0563,PWD Division DIST-142,DIST-142,1.14,67.0
AGY-0564,PWD Division DIST-296,DIST-296,0.89,81.5
AGY-0565,DRDA DIST-362,DIST-362,1.26,79.7
AGY-0566,DRDA DIST-007,DIST-007,0.86,81.3
AGY-0567,Zilla Parishad DIST-357,DIST-357,0.77,91.9
AGY-0568,PWD Division DIST-290,DIST-290,0.7,81.8
AGY-0569,DRDA DIST-449,DIST-449,1.04,74.4
AGY-0570,Zilla Parishad DIST-063,DIST-063,1.48,83.5
AGY-0571,Zilla Parishad DIST-373,DIST-373,0.91,90.9
AGY-0572,Zilla Parishad DIST-331,DIST-331,1.53,73.9
AGY-0573,Zilla Parishad DIST-079,DIST-079,0.48,87.5
AGY-0574,Rural Engineering Dept DIST-202,DIST-202,0.7,85.3
AGY-0575,PWD Division DIST-349,DIST-349,0.8,77.4
AGY-0576,Rural Engineering Dept DIST-031,DIST-031,0.77,66.5
AGY-0577,PWD Division DIST-427,DIST-427,1.13,65.5
AGY-0578,Zilla Parishad DIST-299,DIST-299,1.09,78.1
AGY-0579,Rural Engineering Dept DIST-001,DIST-001,1.15,92.3
AGY-0580,DRDA DIST-233,DIST-233,1.58,69.3
AGY-0581,PWD Division DIST-230,DIST-230,1.05,72.3
AGY-0582,Rural Engineering Dept DIST-291,DIST-291,0.88,73.9
AGY-0583,DRDA DIST-191,DIST-191,1.54,72.4
AGY-0584,PWD Division DIST-039,DIST-039,0.55,90.0
AGY-0585,PWD Division DIST-149,DIST-149,0.56,71.8
AGY-0586,DRDA DIST-280,DIST-280,0.73,95.4
AGY-0587,PWD Division DIST-197,DIST-197,0.63,91.6
AGY-0588,Rural Engineering Dept DIST-035,DIST-035,0.75,75.2
AGY-0589,DRDA DIST-291,DIST-291,0.61,76.8
AGY-0590,PWD Division DIST-008,DIST-008,1.39,75.6
AGY-0591,Rural Engineering Dept DIST-177,DIST-177,1.1,86.9
AGY-0592,Zilla Parishad DIST-113,DIST-113,0.82,90.2
AGY-0593,DRDA DIST-226,DIST-226,0.52,91.2
AGY-0594,Zilla Parishad DIST-280,DIST-280,1.12,94.1
AGY-0595,PWD Division DIST-307,DIST-307,0.41,92.0
AGY-0596,Zilla Parishad DIST-097,DIST-097,1.0,71.4
AGY-0597,DRDA DIST-357,DIST-357,1.22,78.3
AGY-0598,Zilla Parishad DIST-008,DIST-008,1.39,75.6
AGY-0599,Rural Engineering Dept DIST-393,DIST-393,1.33,87.2
AGY-0600,PWD Division DIST-004,DIST-004,1.31,67.4
AGY-0601,Rural Engineering Dept DIST-355,DIST-355,0.78,77.9
AGY-0602,Zilla Parishad DIST-192,DIST-192,0.43,71.8
AGY-0603,PWD Division DIST-107,DIST-107,0.5,87.2
AGY-0604,PWD Division DIST-267,DIST-267,0.92,81.1
AGY-0605,Zilla Parishad DIST-160,DIST-160,1.59,89.0
AGY-0606,Rural Engineering Dept DIST-163,DIST-163,1.32,79.7
AGY-0607,PWD Division DIST-106,DIST-106,0.71,77.4
AGY-0608,DRDA DIST-282,DIST-282,0.61,68.9
AGY-0609,DRDA DIST-407,DIST-407,0.48,80.5
AGY-0610,DRDA DIST-102,DIST-102,1.13,80.4
AGY-0611,Rural Engineering Dept DIST-139,DIST-139,0.82,71.0
AGY-0612,Rural Engineering Dept DIST-224,DIST-224,0.47,90.0
AGY-0613,Zilla Parishad DIST-297,DIST-297,1.15,79.8
AGY-0614,Rural Engineering Dept DIST-249,DIST-249,0.87,94.7
AGY-0615,DRDA DIST-187,DIST-187,1.22,85.0
AGY-0616,Rural Engineering Dept DIST-282,DIST-282,1.29,71.5
AGY-0617,Zilla Parishad DIST-427,DIST-427,1.34,94.3
AGY-0618,DRDA DIST-215,DIST-215,1.02,80.7
AGY-0619,Zilla Parishad DIST-080,DIST-080,1.59,84.6
AGY-0620,Zilla Parishad DIST-040,DIST-040,0.66,71.2
AGY-0621,Rural Engineering Dept DIST-071,DIST-071,1.59,86.6
AGY-0622,Rural Engineering Dept DIST-174,DIST-174,0.82,84.5
AGY-0623,Zilla Parishad DIST-089,DIST-089,0.98,84.6
AGY-0624,Rural Engineering Dept DIST-349,DIST-349,1.17,85.9
AGY-0625,DRDA DIST-071,DIST-071,0.8,93.3
AGY-0626,Zilla Parishad DIST-018,DIST-018,1.29,83.0
AGY-0627,DRDA DIST-362,DIST-362,0.49,83.7
AGY-0628,DRDA DIST-442,DIST-442,1.0,83.7
AGY-0629,Rural Engineering Dept DIST-296,DIST-296,1.59,73.1
AGY-0630,Zilla Parishad DIST-444,DIST-444,0.81,87.7
AGY-0631,DRDA DIST-317,DIST-317,1.57,94.3
AGY-0632,Zilla Parishad DIST-170,DIST-170,1.59,76.7
AGY-0633,Rural Engineering Dept DIST-405,DIST-405,1.31,70.2
AGY-0634,Zilla Parishad DIST-324,DIST-324,0.66,89.1
AGY-0635,DRDA DIST-281,DIST-281,0.67,88.0
AGY-0636,PWD Division DIST-418,DIST-418,1.39,89.6
AGY-0637,Zilla Parishad DIST-297,DIST-297,0.58,93.1
AGY-0638,DRDA DIST-258,DIST-258,0.9,79.5
AGY-0639,Zilla Parishad DIST-185,DIST-185,1.59,83.6
AGY-0640,Rural Engineering Dept DIST-049,DIST-049,0.71,77.4
AGY-0641,Zilla Parishad DIST-392,DIST-392,0.79,95.3
AGY-0642,DRDA DIST-426,DIST-426,0.97,88.3
AGY-0643,PWD Division DIST-454,DIST-454,0.42,81.8
AGY-0644,PWD Division DIST-365,DIST-365,1.58,66.3
AGY-0645,DRDA DIST-345,DIST-345,0.52,69.6
AGY-0646,DRDA DIST-344,DIST-344,0.68,88.2
AGY-0647,DRDA DIST-130,DIST-130,0.66,80.3
AGY-0648,DRDA DIST-254,DIST-254,1.44,65.4
AGY-0649,Zilla Parishad DIST-121,DIST-121,1.13,95.2
AGY-0650,PWD Division DIST-227,DIST-227,0.7,71.1
AGY-0651,Rural Engineering Dept DIST-338,DIST-338,1.39,76.2
AGY-0652,Zilla Parishad DIST-095,DIST-095,0.54,69.7
AGY-0653,DRDA DIST-357,DIST-357,0.52,71.3
AGY-0654,DRDA DIST-264,DIST-264,0.93,66.4
AGY-0655,PWD Division DIST-407,DIST-407,1.51,65.8
AGY-0656,PWD Division DIST-379,DIST-379,1.4,74.7
AGY-0657,PWD Division DIST-260,DIST-260,0.45,85.0
AGY-0658,PWD Division DIST-354,DIST-354,0.68,90.8
AGY-0659,DRDA DIST-227,DIST-227,0.73,88.4
AGY-0660,DRDA DIST-195,DIST-195,1.21,68.7
AGY-0661,PWD Division DIST-272,DIST-272,0.69,82.7
AGY-0662,DRDA DIST-386,DIST-386,1.27,66.9
AGY-0663,PWD Division DIST-068,DIST-068,1.56,70.0
AGY-0664,Zilla Parishad DIST-257,DIST-257,0.95,84.9
AGY-0665,Zilla Parishad DIST-461,DIST-461,1.03,87.9
AGY-0666,DRDA DIST-339,DIST-339,1.6,79.4
AGY-0667,Rural Engineering Dept DIST-058,DIST-058,1.28,85.4
AGY-0668,Zilla Parishad DIST-225,DIST-225,1.49,94.4
AGY-0669,PWD Division DIST-257,DIST-257,0.99,94.2
AGY-0670,Rural Engineering Dept DIST-407,DIST-407,0.68,68.2
AGY-0671,DRDA DIST-178,DIST-178,1.24,71.1
AGY-0672,Rural Engineering Dept DIST-057,DIST-057,1.48,72.6
AGY-0673,Zilla Parishad DIST-142,DIST-142,1.4,93.4
AGY-0674,PWD Division DIST-308,DIST-308,1.27,83.3
AGY-0675,Rural Engineering Dept DIST-136,DIST-136,1.39,79.6
AGY-0676,DRDA DIST-192,DIST-192,0.76,90.3
AGY-0677,Zilla Parishad DIST-129,DIST-129,0.84,77.1
AGY-0678,Rural Engineering Dept DIST-447,DIST-447,1.45,68.5
AGY-0679,Rural Engineering Dept DIST-279,DIST-279,0.68,83.8
AGY-0680,Rural Engineering Dept DIST-027,DIST-027,1.54,65.1
AGY-0681,PWD Division DIST-085,DIST-085,1.4,81.6
AGY-0682,Rural Engineering Dept DIST-100,DIST-100,1.42,78.7
AGY-0683,Rural Engineering Dept DIST-089,DIST-089,0.95,85.2
AGY-0684,Zilla Parishad DIST-117,DIST-117,1.33,93.0
AGY-0685,DRDA DIST-018,DIST-018,1.56,84.3
AGY-0686,PWD Division DIST-309,DIST-309,0.52,72.8
AGY-0687,Zilla Parishad DIST-116,DIST-116,0.76,70.3
AGY-0688,Zilla Parishad DIST-206,DIST-206,0.9,94.9
AGY-0689,DRDA DIST-057,DIST-057,1.08,91.6
AGY-0690,DRDA DIST-295,DIST-295,1.33,72.9
AGY-0691,PWD Division DIST-267,DIST-267,1.01,70.1
AGY-0692,Rural Engineering Dept DIST-154,DIST-154,0.95,87.0
AGY-0693,PWD Division DIST-270,DIST-270,1.43,77.1
AGY-0694,PWD Division DIST-106,DIST-106,0.44,76.3
AGY-0695,DRDA DIST-133,DIST-133,1.5,79.7
AGY-0696,Rural Engineering Dept DIST-244,DIST-244,0.99,81.5
AGY-0697,Zilla Parishad DIST-249,DIST-249,1.05,78.4
AGY-0698,PWD Division DIST-307,DIST-307,1.56,66.2
AGY-0699,PWD Division DIST-110,DIST-110,1.51,84.6
AGY-0700,PWD Division DIST-332,DIST-332,1.34,68.6
AGY-0701,Zilla Parishad DIST-181,DIST-181,1.55,76.2
AGY-0702,Zilla Parishad DIST-431,DIST-431,1.12,71.9
AGY-0703,PWD Division DIST-485,DIST-485,0.59,83.0
AGY-0704,Zilla Parishad DIST-444,DIST-444,0.9,76.9
AGY-0705,DRDA DIST-132,DIST-132,0.8,80.4
AGY-0706,PWD Division DIST-255,DIST-255,1.34,87.0
AGY-0707,Zilla Parishad DIST-184,DIST-184,0.52,65.0
AGY-0708,DRDA DIST-288,DIST-288,0.65,65.4
AGY-0709,Rural Engineering Dept DIST-299,DIST-299,1.55,86.4
AGY-0710,DRDA DIST-250,DIST-250,0.57,67.3
AGY-0711,PWD Division DIST-336,DIST-336,1.55,74.3
AGY-0712,Zilla Parishad DIST-438,DIST-438,0.87,87.6
AGY-0713,PWD Division DIST-477,DIST-477,1.04,95.9
AGY-0714,Rural Engineering Dept DIST-006,DIST-006,1.06,80.6
AGY-0715,Rural Engineering Dept DIST-442,DIST-442,0.72,70.3
AGY-0716,Rural Engineering Dept DIST-464,DIST-464,0.9,93.3
AGY-0717,DRDA DIST-358,DIST-358,1.08,67.2
AGY-0718,PWD Division DIST-080,DIST-080,1.22,84.8
AGY-0719,Rural Engineering Dept DIST-180,DIST-180,1.32,75.8
AGY-0720,Rural Engineering Dept DIST-094,DIST-094,0.51,68.5
AGY-0721,PWD Division DIST-022,DIST-022,1.54,95.0
AGY-0722,Zilla Parishad DIST-274,DIST-274,0.63,95.4
AGY-0723,Rural Engineering Dept DIST-017,DIST-017,0.49,88.3
AGY-0724,Rural Engineering Dept DIST-436,DIST-436,1.49,67.8
AGY-0725,Zilla Parishad DIST-132,DIST-132,0.4,81.2
AGY-0726,PWD Division DIST-296,DIST-296,0.91,78.4
AGY-0727,Zilla Parishad DIST-354,DIST-354,0.43,86.4
AGY-0728,Rural Engineering Dept DIST-203,DIST-203,0.62,83.8
AGY-0729,PWD Division DIST-402,DIST-402,1.59,89.3
AGY-0730,Rural Engineering Dept DIST-448,DIST-448,0.72,66.5
AGY-0731,Rural Engineering Dept DIST-039,DIST-039,0.58,90.7
AGY-0732,PWD Division DIST-083,DIST-083,0.85,86.5
AGY-0733,DRDA DIST-255,DIST-255,0.42,73.1
AGY-0734,PWD Division DIST-182,DIST-182,0.61,68.5
AGY-0735,PWD Division DIST-251,DIST-251,1.0,88.8
AGY-0736,Zilla Parishad DIST-148,DIST-148,0.72,68.8
AGY-0737,DRDA DIST-307,DIST-307,0.47,75.3
AGY-0738,PWD Division DIST-262,DIST-262,1.13,92.8
AGY-0739,PWD Division DIST-080,DIST-080,1.28,79.1
AGY-0740,Zilla Parishad DIST-058,DIST-058,1.23,90.2
AGY-0741,Rural Engineering Dept DIST-092,DIST-092,1.57,90.4
AGY-0742,PWD Division DIST-131,DIST-131,1.41,73.7
AGY-0743,Zilla Parishad DIST-105,DIST-105,1.08,79.3
AGY-0744,Rural Engineering Dept DIST-219,DIST-219,0.43,71.5
AGY-0745,Zilla Parishad DIST-288,DIST-288,0.47,72.0
AGY-0746,Rural Engineering Dept DIST-166,DIST-166,1.3,82.4
AGY-0747,Rural Engineering Dept DIST-326,DIST-326,0.67,92.0
AGY-0748,PWD Division DIST-186,DIST-186,0.69,80.4
AGY-0749,DRDA DIST-327,DIST-327,0.86,76.0
AGY-0750,PWD Division DIST-100,DIST-100,1.43,77.0
AGY-0751,Rural Engineering Dept DIST-225,DIST-225,1.48,71.0
AGY-0752,Rural Engineering Dept DIST-461,DIST-461,1.12,90.4
AGY-0753,DRDA DIST-444,DIST-444,1.15,66.1
AGY-0754,DRDA DIST-255,DIST-255,1.46,87.1
AGY-0755,Rural Engineering Dept DIST-336,DIST-336,1.21,66.4
AGY-0756,Rural Engineering Dept DIST-214,DIST-214,1.5,68.9
AGY-0757,Zilla Parishad DIST-004,DIST-004,1.05,88.5
AGY-0758,Zilla Parishad DIST-141,DIST-141,0.56,80.8
AGY-0759,DRDA DIST-335,DIST-335,1.18,75.8
AGY-0760,Rural Engineering Dept DIST-395,DIST-395,1.59,88.9
AGY-0761,DRDA DIST-395,DIST-395,1.31,73.0
AGY-0762,PWD Division DIST-200,DIST-200,1.5,90.6
AGY-0763,DRDA DIST-023,DIST-023,1.49,92.5
AGY-0764,DRDA DIST-345,DIST-345,0.67,87.2
AGY-0765,Rural Engineering Dept DIST-273,DIST-273,1.28,73.2
AGY-0766,Rural Engineering Dept DIST-450,DIST-450,0.89,90.9
AGY-0767,Rural Engineering Dept DIST-134,DIST-134,0.65,70.7
AGY-0768,Rural Engineering Dept DIST-003,DIST-003,1.06,82.3
AGY-0769,Zilla Parishad DIST-003,DIST-003,1.43,72.4
AGY-0770,Rural Engineering Dept DIST-248,DIST-248,1.39,92.1
AGY-0771,Rural Engineering Dept DIST-367,DIST-367,0.52,72.2
AGY-0772,DRDA DIST-390,DIST-390,0.95,78.0
AGY-0773,DRDA DIST-227,DIST-227,0.46,85.7
AGY-0774,Rural Engineering Dept DIST-046,DIST-046,1.09,68.4
AGY-0775,PWD Division DIST-085,DIST-085,1.37,70.4
AGY-0776,Zilla Parishad DIST-184,DIST-184,0.55,70.2
AGY-0777,DRDA DIST-083,DIST-083,1.53,75.2
AGY-0778,Rural Engineering Dept DIST-384,DIST-384,1.11,69.6
AGY-0779,Rural Engineering Dept DIST-433,DIST-433,1.52,70.7
AGY-0780,Rural Engineering Dept DIST-269,DIST-269,1.56,68.7
AGY-0781,DRDA DIST-127,DIST-127,0.67,71.9
AGY-0782,PWD Division DIST-305,DIST-305,1.18,88.1
AGY-0783,Zilla Parishad DIST-410,DIST-410,1.51,69.5
AGY-0784,DRDA DIST-241,DIST-241,0.81,72.2
AGY-0785,DRDA DIST-261,DIST-261,0.98,90.9
AGY-0786,Zilla Parishad DIST-292,DIST-292,0.56,90.5
AGY-0787,Rural Engineering Dept DIST-388,DIST-388,0.87,68.4
AGY-0788,DRDA DIST-063,DIST-063,1.19,95.4
AGY-0789,DRDA DIST-257,DIST-257,0.87,72.7
AGY-0790,PWD Division DIST-062,DIST-062,0.77,69.7
AGY-0791,PWD Division DIST-286,DIST-286,1.02,88.2
AGY-0792,PWD Division DIST-170,DIST-170,1.45,74.8
AGY-0793,PWD Division DIST-307,DIST-307,1.19,73.7
AGY-0794,Zilla Parishad DIST-392,DIST-392,1.11,65.6
AGY-0795,Zilla Parishad DIST-213,DIST-213,0.53,66.5
AGY-0796,Zilla Parishad DIST-383,DIST-383,1.0,75.2
AGY-0797,Zilla Parishad DIST-484,DIST-484,0.95,89.4
AGY-0798,Rural Engineering Dept DIST-327,DIST-327,0.58,85.6
AGY-0799,PWD Division DIST-095,DIST-095,1.25,73.0
AGY-0800,DRDA DIST-446,DIST-446,1.48,78.1
